panel,n_curation_models,n_accepted,jaccard_vs_baseline
LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,23,1.0
LightGBM+CatBoost+TabM+TabPFNv2+RandomForest,4,24,0.88
LightGBM+CatBoost+TabM+TabPFNv2+RealMLP,4,27,0.852
LightGBM+CatBoost+TabM+TabPFNv2+TabDPT,4,28,0.759
LightGBM+CatBoost+TabM+TabPFNv2+TabICLv2,4,25,0.92
LightGBM+CatBoost+TabM+TabPFNv2+XGBoost,4,27,0.852
LightGBM+CatBoost+TabM+TabPFN-2.5+RandomForest,4,24,0.88
LightGBM+CatBoost+TabM+TabPFN-2.5+RealMLP,4,27,0.852
LightGBM+CatBoost+TabM+TabPFN-2.5+TabDPT,4,24,0.808
LightGBM+CatBoost+TabM+TabPFN-2.5+TabICLv2,4,22,0.957
LightGBM+CatBoost+TabM+TabPFN-2.5+XGBoost,4,24,0.88
LightGBM+CatBoost+TabM+RandomForest+RealMLP,3,27,0.786
LightGBM+CatBoost+TabM+RandomForest+TabDPT,3,27,0.786
LightGBM+CatBoost+TabM+RandomForest+TabICLv2,3,24,0.88
LightGBM+CatBoost+TabM+RandomForest+XGBoost,3,27,0.786
LightGBM+CatBoost+TabM+RealMLP+TabDPT,3,27,0.786
LightGBM+CatBoost+TabM+RealMLP+TabICLv2,3,28,0.821
LightGBM+CatBoost+TabM+RealMLP+XGBoost,3,28,0.821
LightGBM+CatBoost+TabM+TabDPT+TabICLv2,3,25,0.778
LightGBM+CatBoost+TabM+TabDPT+XGBoost,3,28,0.7
LightGBM+CatBoost+TabM+TabICLv2+XGBoost,3,24,0.808
LightGBM+CatBoost+TabPFNv2+TabPFN-2.5+RandomForest,4,22,0.957
LightGBM+CatBoost+TabPFNv2+TabPFN-2.5+RealMLP,4,24,0.958
LightGBM+CatBoost+TabPFNv2+TabPFN-2.5+TabDPT,4,24,0.88
LightGBM+CatBoost+TabPFNv2+TabPFN-2.5+TabICLv2,4,23,0.917
LightGBM+CatBoost+TabPFNv2+TabPFN-2.5+XGBoost,4,24,0.958
LightGBM+CatBoost+TabPFNv2+RandomForest+RealMLP,3,24,0.88
LightGBM+CatBoost+TabPFNv2+RandomForest+TabDPT,3,26,0.815
LightGBM+CatBoost+TabPFNv2+RandomForest+TabICLv2,3,23,0.917
LightGBM+CatBoost+TabPFNv2+RandomForest+XGBoost,3,26,0.815
LightGBM+CatBoost+TabPFNv2+RealMLP+TabDPT,3,27,0.786
LightGBM+CatBoost+TabPFNv2+RealMLP+TabICLv2,3,26,0.885
LightGBM+CatBoost+TabPFNv2+RealMLP+XGBoost,3,26,0.885
LightGBM+CatBoost+TabPFNv2+TabDPT+TabICLv2,3,25,0.846
LightGBM+CatBoost+TabPFNv2+TabDPT+XGBoost,3,25,0.846
LightGBM+CatBoost+TabPFNv2+TabICLv2+XGBoost,3,24,0.958
LightGBM+CatBoost+TabPFN-2.5+RandomForest+RealMLP,3,23,0.84
LightGBM+CatBoost+TabPFN-2.5+RandomForest+TabDPT,3,24,0.808
LightGBM+CatBoost+TabPFN-2.5+RandomForest+TabICLv2,3,22,0.957
LightGBM+CatBoost+TabPFN-2.5+RandomForest+XGBoost,3,25,0.778
LightGBM+CatBoost+TabPFN-2.5+RealMLP+TabDPT,3,24,0.808
LightGBM+CatBoost+TabPFN-2.5+RealMLP+TabICLv2,3,24,0.88
LightGBM+CatBoost+TabPFN-2.5+RealMLP+XGBoost,3,24,0.88
LightGBM+CatBoost+TabPFN-2.5+TabDPT+TabICLv2,3,22,0.875
LightGBM+CatBoost+TabPFN-2.5+TabDPT+XGBoost,3,22,0.8
LightGBM+CatBoost+TabPFN-2.5+TabICLv2+XGBoost,3,23,0.917
LightGBM+CatBoost+RandomForest+RealMLP+TabDPT,2,25,0.778
LightGBM+CatBoost+RandomForest+RealMLP+TabICLv2,2,25,0.846
LightGBM+CatBoost+RandomForest+RealMLP+XGBoost,2,27,0.724
LightGBM+CatBoost+RandomForest+TabDPT+TabICLv2,2,24,0.808
LightGBM+CatBoost+RandomForest+TabDPT+XGBoost,2,27,0.667
LightGBM+CatBoost+RandomForest+TabICLv2+XGBoost,2,25,0.778
LightGBM+CatBoost+RealMLP+TabDPT+TabICLv2,2,27,0.786
LightGBM+CatBoost+RealMLP+TabDPT+XGBoost,2,26,0.75
LightGBM+CatBoost+RealMLP+TabICLv2+XGBoost,2,27,0.852
LightGBM+CatBoost+TabDPT+TabICLv2+XGBoost,2,22,0.8
LightGBM+TabM+TabPFNv2+TabPFN-2.5+RandomForest,4,24,0.958
LightGBM+TabM+TabPFNv2+TabPFN-2.5+RealMLP,4,25,0.92
LightGBM+TabM+TabPFNv2+TabPFN-2.5+TabDPT,4,27,0.786
LightGBM+TabM+TabPFNv2+TabPFN-2.5+TabICLv2,4,23,0.84
LightGBM+TabM+TabPFNv2+TabPFN-2.5+XGBoost,4,24,0.88
LightGBM+TabM+TabPFNv2+RandomForest+RealMLP,3,25,0.92
LightGBM+TabM+TabPFNv2+RandomForest+TabDPT,3,27,0.786
LightGBM+TabM+TabPFNv2+RandomForest+TabICLv2,3,26,0.885
LightGBM+TabM+TabPFNv2+RandomForest+XGBoost,3,29,0.793
LightGBM+TabM+TabPFNv2+RealMLP+TabDPT,3,28,0.821
LightGBM+TabM+TabPFNv2+RealMLP+TabICLv2,3,28,0.821
LightGBM+TabM+TabPFNv2+RealMLP+XGBoost,3,28,0.821
LightGBM+TabM+TabPFNv2+TabDPT+TabICLv2,3,29,0.733
LightGBM+TabM+TabPFNv2+TabDPT+XGBoost,3,27,0.786
LightGBM+TabM+TabPFNv2+TabICLv2+XGBoost,3,24,0.808
LightGBM+TabM+TabPFN-2.5+RandomForest+RealMLP,3,24,0.88
LightGBM+TabM+TabPFN-2.5+RandomForest+TabDPT,3,23,0.769
LightGBM+TabM+TabPFN-2.5+RandomForest+TabICLv2,3,23,0.917
LightGBM+TabM+TabPFN-2.5+RandomForest+XGBoost,3,26,0.75
LightGBM+TabM+TabPFN-2.5+RealMLP+TabDPT,3,23,0.84
LightGBM+TabM+TabPFN-2.5+RealMLP+TabICLv2,3,24,0.808
LightGBM+TabM+TabPFN-2.5+RealMLP+XGBoost,3,24,0.808
LightGBM+TabM+TabPFN-2.5+TabDPT+TabICLv2,3,25,0.846
LightGBM+TabM+TabPFN-2.5+TabDPT+XGBoost,3,26,0.75
LightGBM+TabM+TabPFN-2.5+TabICLv2+XGBoost,3,22,0.875
LightGBM+TabM+RandomForest+RealMLP+TabDPT,2,23,0.84
LightGBM+TabM+RandomForest+RealMLP+TabICLv2,2,26,0.885
LightGBM+TabM+RandomForest+RealMLP+XGBoost,2,28,0.759
LightGBM+TabM+RandomForest+TabDPT+TabICLv2,2,23,0.769
LightGBM+TabM+RandomForest+TabDPT+XGBoost,2,27,0.613
LightGBM+TabM+RandomForest+TabICLv2+XGBoost,2,25,0.714
LightGBM+TabM+RealMLP+TabDPT+TabICLv2,2,26,0.815
LightGBM+TabM+RealMLP+TabDPT+XGBoost,2,26,0.75
LightGBM+TabM+RealMLP+TabICLv2+XGBoost,2,26,0.75
LightGBM+TabM+TabDPT+TabICLv2+XGBoost,2,25,0.714
LightGBM+TabPFNv2+TabPFN-2.5+RandomForest+RealMLP,3,23,0.917
LightGBM+TabPFNv2+TabPFN-2.5+RandomForest+TabDPT,3,25,0.778
LightGBM+TabPFNv2+TabPFN-2.5+RandomForest+TabICLv2,3,23,0.917
LightGBM+TabPFNv2+TabPFN-2.5+RandomForest+XGBoost,3,26,0.815
LightGBM+TabPFNv2+TabPFN-2.5+RealMLP+TabDPT,3,26,0.815
LightGBM+TabPFNv2+TabPFN-2.5+RealMLP+TabICLv2,3,23,0.84
LightGBM+TabPFNv2+TabPFN-2.5+RealMLP+XGBoost,3,23,0.917
LightGBM+TabPFNv2+TabPFN-2.5+TabDPT+TabICLv2,3,24,0.808
LightGBM+TabPFNv2+TabPFN-2.5+TabDPT+XGBoost,3,25,0.778
LightGBM+TabPFNv2+TabPFN-2.5+TabICLv2+XGBoost,3,22,0.875
LightGBM+TabPFNv2+RandomForest+RealMLP+TabDPT,2,25,0.778
LightGBM+TabPFNv2+RandomForest+RealMLP+TabICLv2,2,26,0.885
LightGBM+TabPFNv2+RandomForest+RealMLP+XGBoost,2,26,0.815
LightGBM+TabPFNv2+RandomForest+TabDPT+TabICLv2,2,25,0.778
LightGBM+TabPFNv2+RandomForest+TabDPT+XGBoost,2,27,0.667
LightGBM+TabPFNv2+RandomForest+TabICLv2+XGBoost,2,25,0.846
LightGBM+TabPFNv2+RealMLP+TabDPT+TabICLv2,2,29,0.793
LightGBM+TabPFNv2+RealMLP+TabDPT+XGBoost,2,27,0.786
LightGBM+TabPFNv2+RealMLP+TabICLv2+XGBoost,2,25,0.92
LightGBM+TabPFNv2+TabDPT+TabICLv2+XGBoost,2,26,0.75
LightGBM+TabPFN-2.5+RandomForest+RealMLP+TabDPT,2,24,0.808
LightGBM+TabPFN-2.5+RandomForest+RealMLP+TabICLv2,2,23,0.84
LightGBM+TabPFN-2.5+RandomForest+RealMLP+XGBoost,2,26,0.815
LightGBM+TabPFN-2.5+RandomForest+TabDPT+TabICLv2,2,22,0.731
LightGBM+TabPFN-2.5+RandomForest+TabDPT+XGBoost,2,24,0.679
LightGBM+TabPFN-2.5+RandomForest+TabICLv2+XGBoost,2,24,0.741
LightGBM+TabPFN-2.5+RealMLP+TabDPT+TabICLv2,2,24,0.741
LightGBM+TabPFN-2.5+RealMLP+TabDPT+XGBoost,2,25,0.778
LightGBM+TabPFN-2.5+RealMLP+TabICLv2+XGBoost,2,22,0.8
LightGBM+TabPFN-2.5+TabDPT+TabICLv2+XGBoost,2,23,0.769
LightGBM+RandomForest+RealMLP+TabDPT+TabICLv2,1,24,0.741
LightGBM+RandomForest+RealMLP+TabDPT+XGBoost,1,26,0.69
LightGBM+RandomForest+RealMLP+TabICLv2+XGBoost,1,26,0.75
LightGBM+RandomForest+TabDPT+TabICLv2+XGBoost,1,25,0.655
LightGBM+RealMLP+TabDPT+TabICLv2+XGBoost,1,25,0.714
CatBoost+TabM+TabPFNv2+TabPFN-2.5+RandomForest,4,24,0.958
CatBoost+TabM+TabPFNv2+TabPFN-2.5+RealMLP,4,24,0.958
CatBoost+TabM+TabPFNv2+TabPFN-2.5+TabDPT,4,24,0.88
CatBoost+TabM+TabPFNv2+TabPFN-2.5+TabICLv2,4,22,0.875
CatBoost+TabM+TabPFNv2+TabPFN-2.5+XGBoost,4,25,0.846
CatBoost+TabM+TabPFNv2+RandomForest+RealMLP,3,26,0.885
CatBoost+TabM+TabPFNv2+RandomForest+TabDPT,3,27,0.786
CatBoost+TabM+TabPFNv2+RandomForest+TabICLv2,3,25,0.92
CatBoost+TabM+TabPFNv2+RandomForest+XGBoost,3,26,0.885
CatBoost+TabM+TabPFNv2+RealMLP+TabDPT,3,28,0.821
CatBoost+TabM+TabPFNv2+RealMLP+TabICLv2,3,25,0.92
CatBoost+TabM+TabPFNv2+RealMLP+XGBoost,3,26,0.885
CatBoost+TabM+TabPFNv2+TabDPT+TabICLv2,3,27,0.786
CatBoost+TabM+TabPFNv2+TabDPT+XGBoost,3,27,0.786
CatBoost+TabM+TabPFNv2+TabICLv2+XGBoost,3,26,0.75
CatBoost+TabM+TabPFN-2.5+RandomForest+RealMLP,3,25,0.846
CatBoost+TabM+TabPFN-2.5+RandomForest+TabDPT,3,25,0.714
CatBoost+TabM+TabPFN-2.5+RandomForest+TabICLv2,3,23,0.917
CatBoost+TabM+TabPFN-2.5+RandomForest+XGBoost,3,24,0.808
CatBoost+TabM+TabPFN-2.5+RealMLP+TabDPT,3,25,0.778
CatBoost+TabM+TabPFN-2.5+RealMLP+TabICLv2,3,22,0.875
CatBoost+TabM+TabPFN-2.5+RealMLP+XGBoost,3,23,0.84
CatBoost+TabM+TabPFN-2.5+TabDPT+TabICLv2,3,23,0.917
CatBoost+TabM+TabPFN-2.5+TabDPT+XGBoost,3,26,0.75
CatBoost+TabM+TabPFN-2.5+TabICLv2+XGBoost,3,23,0.84
CatBoost+TabM+RandomForest+RealMLP+TabDPT,2,27,0.724
CatBoost+TabM+RandomForest+RealMLP+TabICLv2,2,26,0.885
CatBoost+TabM+RandomForest+RealMLP+XGBoost,2,25,0.846
CatBoost+TabM+RandomForest+TabDPT+TabICLv2,2,24,0.741
CatBoost+TabM+RandomForest+TabDPT+XGBoost,2,26,0.633
CatBoost+TabM+RandomForest+TabICLv2+XGBoost,2,22,0.8
CatBoost+TabM+RealMLP+TabDPT+TabICLv2,2,26,0.815
CatBoost+TabM+RealMLP+TabDPT+XGBoost,2,27,0.724
CatBoost+TabM+RealMLP+TabICLv2+XGBoost,2,23,0.84
CatBoost+TabM+TabDPT+TabICLv2+XGBoost,2,26,0.69
CatBoost+TabPFNv2+TabPFN-2.5+RandomForest+RealMLP,3,22,0.957
CatBoost+TabPFNv2+TabPFN-2.5+RandomForest+TabDPT,3,23,0.84
CatBoost+TabPFNv2+TabPFN-2.5+RandomForest+TabICLv2,3,22,0.957
CatBoost+TabPFNv2+TabPFN-2.5+RandomForest+XGBoost,3,24,0.88
CatBoost+TabPFNv2+TabPFN-2.5+RealMLP+TabDPT,3,22,0.957
CatBoost+TabPFNv2+TabPFN-2.5+RealMLP+TabICLv2,3,21,0.913
CatBoost+TabPFNv2+TabPFN-2.5+RealMLP+XGBoost,3,23,0.917
CatBoost+TabPFNv2+TabPFN-2.5+TabDPT+TabICLv2,3,23,0.84
CatBoost+TabPFNv2+TabPFN-2.5+TabDPT+XGBoost,3,24,0.808
CatBoost+TabPFNv2+TabPFN-2.5+TabICLv2+XGBoost,3,22,0.875
CatBoost+TabPFNv2+RandomForest+RealMLP+TabDPT,2,23,0.84
CatBoost+TabPFNv2+RandomForest+RealMLP+TabICLv2,2,23,1.0
CatBoost+TabPFNv2+RandomForest+RealMLP+XGBoost,2,24,0.88
CatBoost+TabPFNv2+RandomForest+TabDPT+TabICLv2,2,24,0.808
CatBoost+TabPFNv2+RandomForest+TabDPT+XGBoost,2,25,0.714
CatBoost+TabPFNv2+RandomForest+TabICLv2+XGBoost,2,24,0.88
CatBoost+TabPFNv2+RealMLP+TabDPT+TabICLv2,2,25,0.92
CatBoost+TabPFNv2+RealMLP+TabDPT+XGBoost,2,25,0.846
CatBoost+TabPFNv2+RealMLP+TabICLv2+XGBoost,2,25,0.92
CatBoost+TabPFNv2+TabDPT+TabICLv2+XGBoost,2,25,0.778
CatBoost+TabPFN-2.5+RandomForest+RealMLP+TabDPT,2,24,0.808
CatBoost+TabPFN-2.5+RandomForest+RealMLP+TabICLv2,2,21,0.913
CatBoost+TabPFN-2.5+RandomForest+RealMLP+XGBoost,2,25,0.846
CatBoost+TabPFN-2.5+RandomForest+TabDPT+TabICLv2,2,21,0.76
CatBoost+TabPFN-2.5+RandomForest+TabDPT+XGBoost,2,22,0.731
CatBoost+TabPFN-2.5+RandomForest+TabICLv2+XGBoost,2,22,0.8
CatBoost+TabPFN-2.5+RealMLP+TabDPT+TabICLv2,2,20,0.87
CatBoost+TabPFN-2.5+RealMLP+TabDPT+XGBoost,2,23,0.84
CatBoost+TabPFN-2.5+RealMLP+TabICLv2+XGBoost,2,21,0.833
CatBoost+TabPFN-2.5+TabDPT+TabICLv2+XGBoost,2,23,0.769
