,LightGBM,CatBoost,TabM,TabPFNv2,TabPFN-2.5,RandomForest,RealMLP,TabDPT,TabICLv2,XGBoost
LightGBM,1.0,0.5,0.397,0.481,0.341,0.574,0.503,0.323,0.33,0.286
CatBoost,0.5,1.0,0.536,0.482,0.475,0.643,0.571,0.321,0.321,0.357
TabM,0.397,0.536,1.0,0.447,0.338,0.388,0.388,0.283,0.345,0.393
TabPFNv2,0.481,0.482,0.447,1.0,0.561,0.41,0.336,0.372,0.559,0.334
TabPFN-2.5,0.341,0.475,0.338,0.561,1.0,0.538,0.462,0.278,0.447,0.4
RandomForest,0.574,0.643,0.388,0.41,0.538,1.0,0.426,0.463,0.313,0.571
RealMLP,0.503,0.571,0.388,0.336,0.462,0.426,1.0,0.176,0.385,0.214
TabDPT,0.323,0.321,0.283,0.372,0.278,0.463,0.176,1.0,0.281,0.393
TabICLv2,0.33,0.321,0.345,0.559,0.447,0.313,0.385,0.281,1.0,0.393
XGBoost,0.286,0.357,0.393,0.334,0.4,0.571,0.214,0.393,0.393,1.0
