dataset,original_decision,n_eligible_models,n_panels,pct_pass_ge3,pct_pass_ge4,pct_pass_eq5
BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,accept,10,252,50.0,10.3,0.4
BIN_TEXT_PROFESSIONAL_FAKE_JOB_POSTING,accept,10,252,50.0,10.3,0.4
BIN_TEXT_PROFESSIONAL_KICKSTARTER_FUNDING,accept,10,252,100.0,100.0,100.0
BIN_TEXT_SOCIAL_IMDB_GENRE_PREDICTION,reject,10,252,0.0,0.0,0.0
BIN_TEXT_SOCIAL_JIGSAW_TOXICITY,accept,10,252,100.0,77.8,22.2
BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA,reject,10,252,26.2,2.4,0.0
MUL_TEXT_CONSUMER_PRODUCT_SENTIMENT,accept,10,252,100.0,100.0,50.0
MUL_TEXT_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,accept,10,252,100.0,100.0,100.0
MUL_TEXT_FOOD_MICHELIN_GUIDE_RESTAURANTS,accept,10,252,100.0,100.0,50.0
MUL_TEXT_FOOD_WINE_REVIEW,accept,8,56,100.0,100.0,100.0
MUL_TEXT_FOOD_YELP_REVIEWS,reject,10,252,0.0,0.0,0.0
MUL_TEXT_HOUSES_MELBOURNE_AIRBNB,reject,10,252,0.0,0.0,0.0
MUL_TEXT_PROFESSIONAL_DATA_SCIENTIST_SALARY,accept,10,252,100.0,77.8,22.2
MUL_TEXT_SOCIAL_GOOGLE_QA_TYPE_REASON,reject,10,252,0.0,0.0,0.0
MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT,accept,10,252,91.7,50.0,8.3
MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY,accept,10,252,73.8,26.2,2.4
MUL_TEXT_SOCIAL_SPOTIFY_GENRES,accept,8,56,100.0,100.0,37.5
MUL_TEXT_TRANSPORTATION_US_ACCIDENTS_MARCH23,accept,10,252,100.0,100.0,50.0
REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES,reject,10,252,26.2,2.4,0.0
REG_TEXT_CONSUMER_BABIES_R_US_PRICES,accept,10,252,100.0,100.0,100.0
REG_TEXT_CONSUMER_BIKE_PRICE_BIKEWALE,reject,10,252,8.3,0.0,0.0
REG_TEXT_CONSUMER_BOOK_PRICE_PREDICTION,accept,10,252,91.7,50.0,8.3
REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO,reject,10,252,0.0,0.0,0.0
REG_TEXT_CONSUMER_JC_PENNEY_PRODUCT_PRICE,reject,10,252,8.3,0.0,0.0
REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES,reject,10,252,0.0,0.0,0.0
REG_TEXT_CONSUMER_MERCARI_ONLINE_MARKETPLACE,accept,10,252,100.0,100.0,50.0
REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES,reject,10,252,26.2,2.4,0.0
REG_TEXT_FOOD_BEER_RATINGS,reject,10,252,0.0,0.0,0.0
REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS,reject,10,252,26.2,2.4,0.0
REG_TEXT_FOOD_COFFEE_REVIEW,reject,10,252,0.0,0.0,0.0
