dataset,subset,n_pairs,n_wins,mean_gain,t,p_raw,p_bh,significant
MUL_IMAGE_CHEXPERT,image,60,60,0.0409,29.794,1.4767625499941107e-37,5.9070501999764425e-36,True
REG_IMAGE_AMAZON_PACKAGES,image,60,60,0.0555,16.99,1.0676296081919665e-24,1.4235061442559552e-23,True
BIN_IMAGE_CELEB_ATTRACTIVENESS,image,60,59,0.0097,14.052,8.746871753108778e-21,8.746871753108777e-20,True
MUL_IMAGE_CBIS_DDSM,image,60,59,0.0354,13.292,1.0744785401734596e-19,8.595828321387677e-19,True
REG_IMAGE_MANGO_MASS,image,60,58,0.1194,13.158,1.6835277680796798e-19,1.1223518453864531e-18,True
MUL_IMAGE_HUBMAP_HPA,image,60,55,0.0092,10.55,1.664281750945999e-15,9.510181433977138e-15,True
BIN_IMAGE_HATEFUL_MEME,image,60,55,0.0153,10.213,5.8080442679973666e-15,2.5813530079988294e-14,True
MUL_IMAGE_JUSTIN_INSTAGRAM,image,60,51,0.0165,9.002,5.674794765650599e-13,1.746090697123261e-12,True
MUL_IMAGE_PETFINDER,image,60,55,0.0089,7.856,4.789124160911015e-11,1.2770997762429376e-10,True
MUL_IMAGE_GLAUCOMA_SMDG,image,60,45,0.0121,5.463,4.939354882973481e-07,8.980645241769965e-07,True
MUL_IMAGE_ZOOSCAN_ZOOPLANKTON,image,60,49,0.0028,4.934,3.4590912893128284e-06,5.765152148854714e-06,True
REG_IMAGE_HNM_FASHION,image,60,36,0.015,4.338,2.8501606764668048e-05,4.222460261432303e-05,True
REG_IMAGE_MKPHOTO_BOTS,image,60,42,0.0191,3.881,0.00013236416170273323,0.00018257125752101138,True
REG_IMAGE_AMAZON_BEST_SELLER,image,60,38,0.0228,3.617,0.0003095445082655909,0.0003994122687297947,True
REG_IMAGE_KHAADI_CLOTHES,image,60,39,0.1274,3.414,0.000581381855015907,0.0007267273187698837,True
REG_IMAGE_LETTERBOXD_MOVIES,image,60,40,0.0038,3.145,0.0013008856068031428,0.001530453655062521,True
BIN_IMAGE_MAMMOGRAPHY_CMMD,image,60,37,0.0084,2.737,0.004092349234196063,0.004547054704662292,True
MUL_IMAGE_FLOWER_BOUQUETS,image,60,32,0.0096,2.439,0.008881147297173172,0.009601240321268295,True
REG_IMAGE_PAINTING_PRICE,image,60,32,0.0036,0.763,0.2243412531399958,0.23614868751578505,False
MUL_IMAGE_CSGO_SKIN_PRICE,image,60,25,-0.002,-0.72,0.7628634651731449,0.7628634651731449,False
BIN_TEXT_JIGSAW_TOXICITY,text,50,50,0.1215,27.665,7.267953976199058e-32,1.4535907952398116e-30,True
MUL_TEXT_MICHELIN_RESTAURANTS,text,50,49,0.0133,11.169,2.2574317947021507e-15,1.1287158973510753e-14,True
MUL_TEXT_WOMEN_CLOTHING_REVIEW,text,50,46,0.0059,10.342,3.2530792212472185e-14,1.3012316884988874e-13,True
MUL_TEXT_WINE_REVIEW,text,40,40,0.0093,11.029,7.431134072351346e-14,2.702230571764126e-13,True
BIN_TEXT_KICKSTARTER_FUNDING,text,50,45,0.0169,9.939,1.2340093912556987e-13,4.1133646375189956e-13,True
REG_TEXT_VANCOUVER_SALARIES,text,50,47,0.0226,9.131,1.8795390572048338e-12,5.370111592013811e-12,True
REG_TEXT_MERCARI_MARKETPLACE,text,50,44,0.0218,7.518,5.252801545572505e-10,1.3132003863931261e-09,True
REG_TEXT_ZOMATO_RESTAURANTS,text,50,43,0.0139,7.359,9.221055951536554e-10,2.1696602238909537e-09,True
MUL_TEXT_DATA_SCIENTIST_SALARY,text,50,42,0.0049,6.846,5.7473877050286316e-09,1.2771972677841403e-08,True
MUL_TEXT_SPOTIFY_GENRES,text,40,35,0.005,6.476,5.666690014290779e-08,1.1929873714296377e-07,True
REG_TEXT_ROTTEN_TOMATOES,text,50,39,0.0182,5.768,2.663416305765264e-07,5.326832611530528e-07,True
MUL_TEXT_US_ACCIDENTS,text,50,46,0.0083,5.673,3.716552563246287e-07,7.079147739516736e-07,True
REG_TEXT_BABIES_PRICES,text,50,39,0.0213,5.198,1.9552672890431427e-06,3.400464850509814e-06,True
REG_TEXT_BOOK_READABILITY,text,50,41,0.0118,4.436,2.591745139967415e-05,4.113088388153686e-05,True
REG_TEXT_MONTGOMERY_SALARIES,text,50,42,0.0041,4.427,2.6735074522998958e-05,4.113088388153686e-05,True
MUL_TEXT_PRODUCT_SENTIMENT,text,50,41,0.0105,4.396,2.9619470737398777e-05,4.23135296248554e-05,True
REG_TEXT_SCIMAGOJR_IMPACT,text,50,43,0.0094,3.828,0.00018373112244940762,0.0002449748299325435,True
REG_TEXT_BOOK_PRICE,text,50,33,0.0154,3.308,0.0008834630021576383,0.0010708642450395615,True
REG_TEXT_VIDEO_GAMES_SALES,text,50,38,0.0408,2.83,0.003365197169207812,0.0038459396219517853,True
BIN_TEXT_FAKE_JOB_POSTING,text,50,22,0.0003,0.132,0.4477945675479922,0.4592764795364022,False
