dataset,baseline_accept,flips_at_delta
BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,True,0.0011
BIN_TEXT_PROFESSIONAL_FAKE_JOB_POSTING,True,0.0011
MUL_TEXT_FOOD_WINE_REVIEW,True,0.0011
MUL_TEXT_PROFESSIONAL_DATA_SCIENTIST_SALARY,True,0.0011
REG_TEXT_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,True,0.0021
MUL_TEXT_SOCIAL_NEWS_CHANNEL_CATEGORY,True,0.0031
MUL_TEXT_SOCIAL_SPOTIFY_GENRES,True,0.0031
MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT,True,0.0041
MUL_TEXT_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,True,0.0051
MUL_TEXT_TRANSPORTATION_US_ACCIDENTS_MARCH23,True,0.0051
BIN_TEXT_SOCIAL_JIGSAW_TOXICITY,True,0.0061
REG_TEXT_CONSUMER_BOOK_PRICE_PREDICTION,True,0.0071
REG_TEXT_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,True,0.0091
REG_TEXT_SOCIAL_BOOK_READABILITY_CLEAR,True,0.0091
