split,rank,model,elo,ci_low,ci_high,n_datasets
combined,1,TabPFN-2.5,1638,1569,1735,38
combined,2,TabICLv2,1634,1572,1719,40
combined,3,TabM,1417,1327,1523,40
combined,4,TabPFNv2,1406,1317,1505,38
combined,5,CatBoost,1309,1264,1369,40
combined,6,AutoGluon-MM,1304,1174,1453,40
combined,7,TabDPT,1292,1197,1401,40
combined,8,TabSTAR,1241,1132,1349,40
combined,9,ConTextTab,1231,1145,1323,40
combined,10,RealMLP,1152,1073,1241,40
combined,11,LightGBM,1147,1079,1226,40
combined,12,RandomForest,1000,1000,1000,40
combined,13,XGBoost,973,910,1036,40
image,1,TabPFN-2.5,1668,1568,1812,20
image,2,TabICLv2,1656,1581,1787,20
image,3,TabPFNv2,1494,1407,1620,20
image,4,TabDPT,1443,1356,1569,20
image,5,TabM,1417,1295,1566,20
image,6,ConTextTab,1391,1295,1508,20
image,7,CatBoost,1303,1226,1401,20
image,8,AutoGluon-MM,1271,1062,1495,20
image,9,TabSTAR,1215,1079,1383,20
image,10,RealMLP,1149,1024,1287,20
image,11,LightGBM,1124,1014,1249,20
image,12,RandomForest,1000,1000,1000,20
image,13,XGBoost,858,734,959,20
text,1,TabICLv2,1659,1581,1810,20
text,2,TabPFN-2.5,1653,1552,1825,18
text,3,TabM,1455,1344,1626,20
text,4,AutoGluon-MM,1363,1179,1593,20
text,5,TabPFNv2,1351,1211,1526,18
text,6,CatBoost,1342,1285,1441,20
text,7,TabSTAR,1285,1143,1475,20
text,8,LightGBM,1177,1085,1305,20
text,9,TabDPT,1174,1020,1356,20
text,10,RealMLP,1167,1063,1289,20
text,11,ConTextTab,1093,971,1210,20
text,12,XGBoost,1053,980,1137,20
text,13,RandomForest,1000,1000,1000,20
