,LightGBM,CatBoost,TabM,TabPFNv2,TabPFN-2.5,RandomForest,RealMLP,TabDPT,TabICLv2,XGBoost
LightGBM,,78.6,73.2,74.1,74.1,82.1,67.9,73.2,73.2,75.0
CatBoost,78.6,,73.2,81.5,77.8,92.9,71.4,73.2,73.2,75.0
TabM,73.2,73.2,,74.1,66.7,66.1,62.5,60.7,71.4,66.1
TabPFNv2,74.1,81.5,74.1,,81.5,77.8,66.7,68.5,79.6,70.4
TabPFN-2.5,74.1,77.8,66.7,81.5,,77.8,70.4,64.8,75.9,70.4
RandomForest,82.1,92.9,66.1,77.8,77.8,,67.9,73.2,69.6,78.6
RealMLP,67.9,71.4,62.5,66.7,70.4,67.9,,62.5,69.6,60.7
TabDPT,73.2,73.2,60.7,68.5,64.8,73.2,62.5,,64.3,69.6
TabICLv2,73.2,73.2,71.4,79.6,75.9,69.6,69.6,64.3,,69.6
XGBoost,75.0,75.0,66.1,70.4,70.4,78.6,60.7,69.6,69.6,
