panel,n_curation_models,n_accepted,jaccard_vs_baseline
LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,23,1.0
LightGBM+CatBoost+TabM+TabPFNv2+TabDPT,4,28,0.759
LightGBM+CatBoost+TabM+TabPFNv2+TabICLv2,4,25,0.92
LightGBM+CatBoost+TabM+TabPFNv2+RealMLP,4,27,0.852
LightGBM+CatBoost+TabM+TabPFNv2+XGBoost,4,27,0.852
LightGBM+CatBoost+TabM+TabPFNv2+RandomForest,4,24,0.88
LightGBM+CatBoost+TabM+TabPFN-2.5+TabDPT,4,24,0.808
LightGBM+CatBoost+TabM+TabPFN-2.5+TabICLv2,4,22,0.957
LightGBM+CatBoost+TabM+TabPFN-2.5+RealMLP,4,27,0.852
LightGBM+CatBoost+TabM+TabPFN-2.5+XGBoost,4,24,0.88
LightGBM+CatBoost+TabM+TabPFN-2.5+RandomForest,4,24,0.88
LightGBM+CatBoost+TabM+TabDPT+TabICLv2,3,25,0.778
LightGBM+CatBoost+TabM+TabDPT+RealMLP,3,27,0.786
LightGBM+CatBoost+TabM+TabDPT+XGBoost,3,28,0.7
LightGBM+CatBoost+TabM+TabDPT+RandomForest,3,27,0.786
LightGBM+CatBoost+TabM+TabICLv2+RealMLP,3,28,0.821
LightGBM+CatBoost+TabM+TabICLv2+XGBoost,3,24,0.808
LightGBM+CatBoost+TabM+TabICLv2+RandomForest,3,24,0.88
LightGBM+CatBoost+TabM+RealMLP+XGBoost,3,28,0.821
LightGBM+CatBoost+TabM+RealMLP+RandomForest,3,27,0.786
LightGBM+CatBoost+TabM+XGBoost+RandomForest,3,27,0.786
LightGBM+CatBoost+TabPFNv2+TabPFN-2.5+TabDPT,4,24,0.88
LightGBM+CatBoost+TabPFNv2+TabPFN-2.5+TabICLv2,4,23,0.917
LightGBM+CatBoost+TabPFNv2+TabPFN-2.5+RealMLP,4,24,0.958
LightGBM+CatBoost+TabPFNv2+TabPFN-2.5+XGBoost,4,24,0.958
LightGBM+CatBoost+TabPFNv2+TabPFN-2.5+RandomForest,4,22,0.957
LightGBM+CatBoost+TabPFNv2+TabDPT+TabICLv2,3,25,0.846
LightGBM+CatBoost+TabPFNv2+TabDPT+RealMLP,3,27,0.786
LightGBM+CatBoost+TabPFNv2+TabDPT+XGBoost,3,25,0.846
LightGBM+CatBoost+TabPFNv2+TabDPT+RandomForest,3,26,0.815
LightGBM+CatBoost+TabPFNv2+TabICLv2+RealMLP,3,26,0.885
LightGBM+CatBoost+TabPFNv2+TabICLv2+XGBoost,3,24,0.958
LightGBM+CatBoost+TabPFNv2+TabICLv2+RandomForest,3,23,0.917
LightGBM+CatBoost+TabPFNv2+RealMLP+XGBoost,3,26,0.885
LightGBM+CatBoost+TabPFNv2+RealMLP+RandomForest,3,24,0.88
LightGBM+CatBoost+TabPFNv2+XGBoost+RandomForest,3,26,0.815
LightGBM+CatBoost+TabPFN-2.5+TabDPT+TabICLv2,3,22,0.875
LightGBM+CatBoost+TabPFN-2.5+TabDPT+RealMLP,3,24,0.808
LightGBM+CatBoost+TabPFN-2.5+TabDPT+XGBoost,3,22,0.8
LightGBM+CatBoost+TabPFN-2.5+TabDPT+RandomForest,3,24,0.808
LightGBM+CatBoost+TabPFN-2.5+TabICLv2+RealMLP,3,24,0.88
LightGBM+CatBoost+TabPFN-2.5+TabICLv2+XGBoost,3,23,0.917
LightGBM+CatBoost+TabPFN-2.5+TabICLv2+RandomForest,3,22,0.957
LightGBM+CatBoost+TabPFN-2.5+RealMLP+XGBoost,3,24,0.88
LightGBM+CatBoost+TabPFN-2.5+RealMLP+RandomForest,3,23,0.84
LightGBM+CatBoost+TabPFN-2.5+XGBoost+RandomForest,3,25,0.778
LightGBM+CatBoost+TabDPT+TabICLv2+RealMLP,2,27,0.786
LightGBM+CatBoost+TabDPT+TabICLv2+XGBoost,2,22,0.8
LightGBM+CatBoost+TabDPT+TabICLv2+RandomForest,2,24,0.808
LightGBM+CatBoost+TabDPT+RealMLP+XGBoost,2,26,0.75
LightGBM+CatBoost+TabDPT+RealMLP+RandomForest,2,25,0.778
LightGBM+CatBoost+TabDPT+XGBoost+RandomForest,2,27,0.667
LightGBM+CatBoost+TabICLv2+RealMLP+XGBoost,2,27,0.852
LightGBM+CatBoost+TabICLv2+RealMLP+RandomForest,2,25,0.846
LightGBM+CatBoost+TabICLv2+XGBoost+RandomForest,2,25,0.778
LightGBM+CatBoost+RealMLP+XGBoost+RandomForest,2,27,0.724
LightGBM+TabM+TabPFNv2+TabPFN-2.5+TabDPT,4,27,0.786
LightGBM+TabM+TabPFNv2+TabPFN-2.5+TabICLv2,4,23,0.84
LightGBM+TabM+TabPFNv2+TabPFN-2.5+RealMLP,4,25,0.92
LightGBM+TabM+TabPFNv2+TabPFN-2.5+XGBoost,4,24,0.88
LightGBM+TabM+TabPFNv2+TabPFN-2.5+RandomForest,4,24,0.958
LightGBM+TabM+TabPFNv2+TabDPT+TabICLv2,3,29,0.733
LightGBM+TabM+TabPFNv2+TabDPT+RealMLP,3,28,0.821
LightGBM+TabM+TabPFNv2+TabDPT+XGBoost,3,27,0.786
LightGBM+TabM+TabPFNv2+TabDPT+RandomForest,3,27,0.786
LightGBM+TabM+TabPFNv2+TabICLv2+RealMLP,3,28,0.821
LightGBM+TabM+TabPFNv2+TabICLv2+XGBoost,3,24,0.808
LightGBM+TabM+TabPFNv2+TabICLv2+RandomForest,3,26,0.885
LightGBM+TabM+TabPFNv2+RealMLP+XGBoost,3,28,0.821
LightGBM+TabM+TabPFNv2+RealMLP+RandomForest,3,25,0.92
LightGBM+TabM+TabPFNv2+XGBoost+RandomForest,3,29,0.793
LightGBM+TabM+TabPFN-2.5+TabDPT+TabICLv2,3,25,0.846
LightGBM+TabM+TabPFN-2.5+TabDPT+RealMLP,3,23,0.84
LightGBM+TabM+TabPFN-2.5+TabDPT+XGBoost,3,26,0.75
LightGBM+TabM+TabPFN-2.5+TabDPT+RandomForest,3,23,0.769
LightGBM+TabM+TabPFN-2.5+TabICLv2+RealMLP,3,24,0.808
LightGBM+TabM+TabPFN-2.5+TabICLv2+XGBoost,3,22,0.875
LightGBM+TabM+TabPFN-2.5+TabICLv2+RandomForest,3,23,0.917
LightGBM+TabM+TabPFN-2.5+RealMLP+XGBoost,3,24,0.808
LightGBM+TabM+TabPFN-2.5+RealMLP+RandomForest,3,24,0.88
LightGBM+TabM+TabPFN-2.5+XGBoost+RandomForest,3,26,0.75
LightGBM+TabM+TabDPT+TabICLv2+RealMLP,2,26,0.815
LightGBM+TabM+TabDPT+TabICLv2+XGBoost,2,25,0.714
LightGBM+TabM+TabDPT+TabICLv2+RandomForest,2,23,0.769
LightGBM+TabM+TabDPT+RealMLP+XGBoost,2,26,0.75
LightGBM+TabM+TabDPT+RealMLP+RandomForest,2,23,0.84
LightGBM+TabM+TabDPT+XGBoost+RandomForest,2,27,0.613
LightGBM+TabM+TabICLv2+RealMLP+XGBoost,2,26,0.75
LightGBM+TabM+TabICLv2+RealMLP+RandomForest,2,26,0.885
LightGBM+TabM+TabICLv2+XGBoost+RandomForest,2,25,0.714
LightGBM+TabM+RealMLP+XGBoost+RandomForest,2,28,0.759
LightGBM+TabPFNv2+TabPFN-2.5+TabDPT+TabICLv2,3,24,0.808
LightGBM+TabPFNv2+TabPFN-2.5+TabDPT+RealMLP,3,26,0.815
LightGBM+TabPFNv2+TabPFN-2.5+TabDPT+XGBoost,3,25,0.778
LightGBM+TabPFNv2+TabPFN-2.5+TabDPT+RandomForest,3,25,0.778
LightGBM+TabPFNv2+TabPFN-2.5+TabICLv2+RealMLP,3,23,0.84
LightGBM+TabPFNv2+TabPFN-2.5+TabICLv2+XGBoost,3,22,0.875
LightGBM+TabPFNv2+TabPFN-2.5+TabICLv2+RandomForest,3,23,0.917
LightGBM+TabPFNv2+TabPFN-2.5+RealMLP+XGBoost,3,23,0.917
LightGBM+TabPFNv2+TabPFN-2.5+RealMLP+RandomForest,3,23,0.917
LightGBM+TabPFNv2+TabPFN-2.5+XGBoost+RandomForest,3,26,0.815
LightGBM+TabPFNv2+TabDPT+TabICLv2+RealMLP,2,29,0.793
LightGBM+TabPFNv2+TabDPT+TabICLv2+XGBoost,2,26,0.75
LightGBM+TabPFNv2+TabDPT+TabICLv2+RandomForest,2,25,0.778
LightGBM+TabPFNv2+TabDPT+RealMLP+XGBoost,2,27,0.786
LightGBM+TabPFNv2+TabDPT+RealMLP+RandomForest,2,25,0.778
LightGBM+TabPFNv2+TabDPT+XGBoost+RandomForest,2,27,0.667
