subset,size,n_accepted,jaccard_vs_baseline
LightGBM,1,30,0.656
CatBoost,1,28,0.759
TabM,1,25,0.6
TabPFNv2,1,28,0.7
TabPFN-2.5,1,18,0.64
LightGBM+CatBoost,2,22,0.875
LightGBM+TabM,2,19,0.68
LightGBM+TabPFNv2,2,21,0.76
LightGBM+TabPFN-2.5,2,14,0.609
CatBoost+TabM,2,20,0.654
CatBoost+TabPFNv2,2,20,0.87
CatBoost+TabPFN-2.5,2,15,0.652
TabM+TabPFNv2,2,18,0.64
TabM+TabPFN-2.5,2,12,0.522
TabPFNv2+TabPFN-2.5,2,17,0.667
LightGBM+CatBoost+TabM,3,27,0.724
LightGBM+CatBoost+TabPFNv2,3,25,0.846
LightGBM+CatBoost+TabPFN-2.5,3,23,0.917
LightGBM+TabM+TabPFNv2,3,28,0.759
LightGBM+TabM+TabPFN-2.5,3,23,0.84
LightGBM+TabPFNv2+TabPFN-2.5,3,24,0.808
CatBoost+TabM+TabPFNv2,3,28,0.821
CatBoost+TabM+TabPFN-2.5,3,25,0.846
CatBoost+TabPFNv2+TabPFN-2.5,3,22,0.875
TabM+TabPFNv2+TabPFN-2.5,3,23,0.769
LightGBM+CatBoost+TabM+TabPFNv2,4,21,0.913
LightGBM+CatBoost+TabM+TabPFN-2.5,4,20,0.87
LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,20,0.87
LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,19,0.826
CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,20,0.87
LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,23,1.0
