dataset,original_5_panel_passes,alt_5_panel_passes
BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,True,False
BIN_TEXT_PROFESSIONAL_FAKE_JOB_POSTING,True,False
MUL_TEXT_HOUSES_MELBOURNE_AIRBNB,True,False
REG_TEXT_CONSUMER_AMERICAN_EAGLE_PRICES,False,True
REG_TEXT_CONSUMER_CAR_PRICE_CARDEKHO,False,True
REG_TEXT_CONSUMER_LAPTOP_INDIAN_PRICES,False,True
REG_TEXT_FOOD_ALCOHOL_WIKILIQ_PRICES,False,True
REG_TEXT_FOOD_BEER_RATINGS,True,False
REG_TEXT_FOOD_COFFEE_REVIEW,False,True
REG_TEXT_FOOD_WINE_VIVINO_SPAIN,False,True
REG_TEXT_HOUSES_AIRBNB_SEATTLE,False,True
REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,False,True
REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES,False,True
REG_TEXT_SPORTS_FIFA22_WAGES,False,True
REG_TEXT_SPORTS_NBA_DRAFT_VALUE_OVER_REPLACEMENT,True,False
REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN,False,True
REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,False,True
