subset_1,size_1,subset_2,size_2,jaccard
LightGBM,1,CatBoost,1,0.611
LightGBM,1,TabM,1,0.528
LightGBM,1,TabPFNv2,1,0.568
LightGBM,1,TabPFN-2.5,1,0.412
LightGBM,1,LightGBM+CatBoost,2,0.733
LightGBM,1,LightGBM+TabM,2,0.633
LightGBM,1,LightGBM+TabPFNv2,2,0.7
LightGBM,1,LightGBM+TabPFN-2.5,2,0.467
LightGBM,1,CatBoost+TabM,2,0.515
LightGBM,1,CatBoost+TabPFNv2,2,0.613
LightGBM,1,CatBoost+TabPFN-2.5,2,0.452
LightGBM,1,TabM+TabPFNv2,2,0.455
LightGBM,1,TabM+TabPFN-2.5,2,0.355
LightGBM,1,TabPFNv2+TabPFN-2.5,2,0.424
LightGBM,1,LightGBM+CatBoost+TabM,3,0.727
LightGBM,1,LightGBM+CatBoost+TabPFNv2,3,0.774
LightGBM,1,LightGBM+CatBoost+TabPFN-2.5,3,0.71
LightGBM,1,LightGBM+TabM+TabPFNv2,3,0.758
LightGBM,1,LightGBM+TabM+TabPFN-2.5,3,0.71
LightGBM,1,LightGBM+TabPFNv2+TabPFN-2.5,3,0.636
LightGBM,1,CatBoost+TabM+TabPFNv2,3,0.568
LightGBM,1,CatBoost+TabM+TabPFN-2.5,3,0.571
LightGBM,1,CatBoost+TabPFNv2+TabPFN-2.5,3,0.576
LightGBM,1,TabM+TabPFNv2+TabPFN-2.5,3,0.514
LightGBM,1,LightGBM+CatBoost+TabM+TabPFNv2,4,0.7
LightGBM,1,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.667
LightGBM,1,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.613
LightGBM,1,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.581
LightGBM,1,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.562
LightGBM,1,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.656
CatBoost,1,TabM,1,0.606
CatBoost,1,TabPFNv2,1,0.556
CatBoost,1,TabPFN-2.5,1,0.484
CatBoost,1,LightGBM+CatBoost,2,0.786
CatBoost,1,LightGBM+TabM,2,0.567
CatBoost,1,LightGBM+TabPFNv2,2,0.633
CatBoost,1,LightGBM+TabPFN-2.5,2,0.5
CatBoost,1,CatBoost+TabM,2,0.714
CatBoost,1,CatBoost+TabPFNv2,2,0.714
CatBoost,1,CatBoost+TabPFN-2.5,2,0.536
CatBoost,1,TabM+TabPFNv2,2,0.484
CatBoost,1,TabM+TabPFN-2.5,2,0.379
CatBoost,1,TabPFNv2+TabPFN-2.5,2,0.5
CatBoost,1,LightGBM+CatBoost+TabM,3,0.833
CatBoost,1,LightGBM+CatBoost+TabPFNv2,3,0.767
CatBoost,1,LightGBM+CatBoost+TabPFN-2.5,3,0.821
CatBoost,1,LightGBM+TabM+TabPFNv2,3,0.6
CatBoost,1,LightGBM+TabM+TabPFN-2.5,3,0.645
CatBoost,1,LightGBM+TabPFNv2+TabPFN-2.5,3,0.625
CatBoost,1,CatBoost+TabM+TabPFNv2,3,0.806
CatBoost,1,CatBoost+TabM+TabPFN-2.5,3,0.828
CatBoost,1,CatBoost+TabPFNv2+TabPFN-2.5,3,0.667
CatBoost,1,TabM+TabPFNv2+TabPFN-2.5,3,0.594
CatBoost,1,LightGBM+CatBoost+TabM+TabPFNv2,4,0.75
CatBoost,1,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.714
CatBoost,1,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.714
CatBoost,1,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.621
CatBoost,1,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.655
CatBoost,1,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.759
TabM,1,TabPFNv2,1,0.514
TabM,1,TabPFN-2.5,1,0.387
TabM,1,LightGBM+CatBoost,2,0.567
TabM,1,LightGBM+TabM,2,0.76
TabM,1,LightGBM+TabPFNv2,2,0.484
TabM,1,LightGBM+TabPFN-2.5,2,0.393
TabM,1,CatBoost+TabM,2,0.8
TabM,1,CatBoost+TabPFNv2,2,0.5
TabM,1,CatBoost+TabPFN-2.5,2,0.379
TabM,1,TabM+TabPFNv2,2,0.72
TabM,1,TabM+TabPFN-2.5,2,0.48
TabM,1,TabPFNv2+TabPFN-2.5,2,0.4
TabM,1,LightGBM+CatBoost+TabM,3,0.733
TabM,1,LightGBM+CatBoost+TabPFNv2,3,0.515
TabM,1,LightGBM+CatBoost+TabPFN-2.5,3,0.548
TabM,1,LightGBM+TabM+TabPFNv2,3,0.71
TabM,1,LightGBM+TabM+TabPFN-2.5,3,0.714
TabM,1,LightGBM+TabPFNv2+TabPFN-2.5,3,0.485
TabM,1,CatBoost+TabM+TabPFNv2,3,0.767
TabM,1,CatBoost+TabM+TabPFN-2.5,3,0.724
TabM,1,CatBoost+TabPFNv2+TabPFN-2.5,3,0.516
TabM,1,TabM+TabPFNv2+TabPFN-2.5,3,0.6
TabM,1,LightGBM+CatBoost+TabM+TabPFNv2,4,0.586
TabM,1,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.607
TabM,1,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.5
TabM,1,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.571
TabM,1,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.552
TabM,1,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.6
TabPFNv2,1,TabPFN-2.5,1,0.586
TabPFNv2,1,LightGBM+CatBoost,2,0.613
TabPFNv2,1,LightGBM+TabM,2,0.469
TabPFNv2,1,LightGBM+TabPFNv2,2,0.75
TabPFNv2,1,LightGBM+TabPFN-2.5,2,0.5
TabPFNv2,1,CatBoost+TabM,2,0.455
TabPFNv2,1,CatBoost+TabPFNv2,2,0.714
TabPFNv2,1,CatBoost+TabPFN-2.5,2,0.536
TabPFNv2,1,TabM+TabPFNv2,2,0.643
TabPFNv2,1,TabM+TabPFN-2.5,2,0.429
TabPFNv2,1,TabPFNv2+TabPFN-2.5,2,0.607
TabPFNv2,1,LightGBM+CatBoost+TabM,3,0.528
TabPFNv2,1,LightGBM+CatBoost+TabPFNv2,3,0.71
TabPFNv2,1,LightGBM+CatBoost+TabPFN-2.5,3,0.645
TabPFNv2,1,LightGBM+TabM+TabPFNv2,3,0.75
TabPFNv2,1,LightGBM+TabM+TabPFN-2.5,3,0.594
TabPFNv2,1,LightGBM+TabPFNv2+TabPFN-2.5,3,0.857
TabPFNv2,1,CatBoost+TabM+TabPFNv2,3,0.697
TabPFNv2,1,CatBoost+TabM+TabPFN-2.5,3,0.606
TabPFNv2,1,CatBoost+TabPFNv2+TabPFN-2.5,3,0.786
TabPFNv2,1,TabM+TabPFNv2+TabPFN-2.5,3,0.821
TabPFNv2,1,LightGBM+CatBoost+TabM+TabPFNv2,4,0.633
TabPFNv2,1,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.6
TabPFNv2,1,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.714
TabPFNv2,1,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.679
TabPFNv2,1,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.714
TabPFNv2,1,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.7
TabPFN-2.5,1,LightGBM+CatBoost,2,0.538
TabPFN-2.5,1,LightGBM+TabM,2,0.423
TabPFN-2.5,1,LightGBM+TabPFNv2,2,0.56
TabPFN-2.5,1,LightGBM+TabPFN-2.5,2,0.778
TabPFN-2.5,1,CatBoost+TabM,2,0.407
TabPFN-2.5,1,CatBoost+TabPFNv2,2,0.652
TabPFN-2.5,1,CatBoost+TabPFN-2.5,2,0.833
TabPFN-2.5,1,TabM+TabPFNv2,2,0.5
TabPFN-2.5,1,TabM+TabPFN-2.5,2,0.667
TabPFN-2.5,1,TabPFNv2+TabPFN-2.5,2,0.944
TabPFN-2.5,1,LightGBM+CatBoost+TabM,3,0.452
TabPFN-2.5,1,LightGBM+CatBoost+TabPFNv2,3,0.536
TabPFN-2.5,1,LightGBM+CatBoost+TabPFN-2.5,3,0.577
TabPFN-2.5,1,LightGBM+TabM+TabPFNv2,3,0.484
TabPFN-2.5,1,LightGBM+TabM+TabPFN-2.5,3,0.577
TabPFN-2.5,1,LightGBM+TabPFNv2+TabPFN-2.5,3,0.68
TabPFN-2.5,1,CatBoost+TabM+TabPFNv2,3,0.533
TabPFN-2.5,1,CatBoost+TabM+TabPFN-2.5,3,0.593
TabPFN-2.5,1,CatBoost+TabPFNv2+TabPFN-2.5,3,0.739
TabPFN-2.5,1,TabM+TabPFNv2+TabPFN-2.5,3,0.708
TabPFN-2.5,1,LightGBM+CatBoost+TabM+TabPFNv2,4,0.56
TabPFN-2.5,1,LightGBM+CatBoost+TabM+TabPFN-2.5,4,0.583
TabPFN-2.5,1,LightGBM+CatBoost+TabPFNv2+TabPFN-2.5,4,0.652
TabPFN-2.5,1,LightGBM+TabM+TabPFNv2+TabPFN-2.5,4,0.682
TabPFN-2.5,1,CatBoost+TabM+TabPFNv2+TabPFN-2.5,4,0.727
TabPFN-2.5,1,LightGBM+CatBoost+TabM+TabPFNv2+TabPFN-2.5,5,0.64
LightGBM+CatBoost,2,LightGBM+TabM,2,0.708
LightGBM+CatBoost,2,LightGBM+TabPFNv2,2,0.792
LightGBM+CatBoost,2,LightGBM+TabPFN-2.5,2,0.636
LightGBM+CatBoost,2,CatBoost+TabM,2,0.68
LightGBM+CatBoost,2,CatBoost+TabPFNv2,2,0.826
LightGBM+CatBoost,2,CatBoost+TabPFN-2.5,2,0.609
LightGBM+CatBoost,2,TabM+TabPFNv2,2,0.6
LightGBM+CatBoost,2,TabM+TabPFN-2.5,2,0.478
LightGBM+CatBoost,2,TabPFNv2+TabPFN-2.5,2,0.56
LightGBM+CatBoost,2,LightGBM+CatBoost+TabM,3,0.815
LightGBM+CatBoost,2,LightGBM+CatBoost+TabPFNv2,3,0.88
LightGBM+CatBoost,2,LightGBM+CatBoost+TabPFN-2.5,3,0.957
LightGBM+CatBoost,2,LightGBM+TabM+TabPFNv2,3,0.724
LightGBM+CatBoost,2,LightGBM+TabM+TabPFN-2.5,3,0.8
LightGBM+CatBoost,2,LightGBM+TabPFNv2+TabPFN-2.5,3,0.704
LightGBM+CatBoost,2,CatBoost+TabM+TabPFNv2,3,0.724
