dataset,source_paper,task_type,domain,in_core,n_curation_models,n_all_models,joint_pass_5,joint_pass_10,awareness_pass_5,core_pass_5,median_delta_joint,min_delta_joint,joint_accept,core_decision,selected_full,rank,in_registry,exclusion_reason
REG_TEXT_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,-,REG,PROFESSIONAL,True,5,10,5,10,5,5,0.168,0.161,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_PROFESSIONAL_SCIMAGOJR_ACADEMIC_IMPACT,-,REG,PROFESSIONAL,True,5,10,5,10,5,5,0.105,0.08,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_FOOD_WINE_POLISH_MARKET_PRICES,CARTE,REG,FOOD,False,5,10,5,10,1,1,0.092,0.001,True,reject,True,1.0,True,
REG_TEXT_SOCIAL_VIDEO_GAMES_SALES,-,REG,SOCIAL,True,5,10,5,10,5,5,0.085,0.068,True,accept,False,,False,already in MulTaBench-Core
MUL_TEXT_CONSUMER_PRODUCT_SENTIMENT,-,MUL,CONSUMER,True,5,10,5,10,5,5,0.081,0.046,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_SOCIAL_KOREAN_DRAMA,CARTE,REG,SOCIAL,False,5,10,5,10,1,1,0.048,0.038,True,reject,True,2.0,True,
REG_TEXT_CONSUMER_MERCARI_ONLINE_MARKETPLACE,-,REG,CONSUMER,True,5,10,5,10,4,4,0.038,0.02,True,accept,False,,False,already in MulTaBench-Core
BIN_TEXT_PROFESSIONAL_KICKSTARTER_FUNDING,-,BIN,PROFESSIONAL,True,5,10,5,10,5,5,0.031,0.03,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,CARTE,REG,TRANSPORTATION,False,5,10,5,10,1,1,0.027,0.013,True,reject,True,3.0,True,
REG_TEXT_CONSUMER_BABIES_R_US_PRICES,-,REG,CONSUMER,True,5,10,5,10,5,5,0.024,0.017,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_FOOD_ZOMATO_RESTAURANTS,-,REG,FOOD,True,5,10,5,10,4,4,0.024,0.022,True,accept,False,,False,already in MulTaBench-Core
BIN_TEXT_FINANCIAL_CONSUMER_COMPLAINT,TextTabBench,BIN,FINANCIAL,False,5,10,5,10,4,4,0.023,0.01,True,accept,True,4.0,True,
MUL_TEXT_SOCIAL_HEARTHSTONE_CARD_GAME_WARCRAFT,TextTabBench,MUL,SOCIAL,False,5,10,5,10,4,4,0.019,0.004,True,accept,True,5.0,True,
REG_TEXT_CONSUMER_BOOK_PRICE_PREDICTION,-,REG,CONSUMER,True,5,10,5,10,4,4,0.017,0.007,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_SOCIAL_MOVIES_ROTTEN_TOMATOES,-,REG,SOCIAL,True,5,10,5,10,4,4,0.017,0.011,True,accept,False,,False,already in MulTaBench-Core
MUL_TEXT_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,-,MUL,CONSUMER,True,5,10,5,10,5,5,0.016,0.014,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_FOOD_WINE_VIVINO_SPAIN,CARTE,REG,FOOD,False,5,10,5,10,2,2,0.011,0.005,True,reject,True,6.0,True,
BIN_TEXT_PROFESSIONAL_FAKE_JOB_POSTING,-,BIN,PROFESSIONAL,True,5,10,5,10,3,3,0.01,0.001,True,accept,False,,False,already in MulTaBench-Core
MUL_TEXT_TRANSPORTATION_US_ACCIDENTS_MARCH23,-,MUL,TRANSPORTATION,True,5,10,5,10,4,4,0.007,0.005,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_FOOD_CHOCOLATE_BAR_RATINGS,CARTE,REG,FOOD,False,5,10,5,9,2,2,0.106,0.027,True,reject,True,7.0,True,
REG_TEXT_SOCIAL_ANIME_PLANET_RATING,CARTE,REG,SOCIAL,False,5,10,5,9,0,0,0.085,0.068,True,reject,True,8.0,True,
REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN,CARTE,REG,TRANSPORTATION,False,5,10,5,9,1,1,0.045,0.03,True,reject,True,9.0,True,
MUL_TEXT_FOOD_MICHELIN_GUIDE_RESTAURANTS,-,MUL,FOOD,True,5,10,5,9,5,5,0.039,0.031,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_SOCIAL_BOOKS_GOODREADS,Vectorizing,REG,SOCIAL,False,5,10,5,9,1,1,0.027,0.009,True,reject,True,10.0,True,
REG_TEXT_FOOD_RAMEN_RATINGS_2022,CARTE+Vectorizing,REG,FOOD,False,5,10,5,9,0,0,0.024,0.016,True,reject,True,11.0,True,
REG_TEXT_SOCIAL_BOOK_READABILITY_CLEAR,-,REG,SOCIAL,True,5,10,5,9,5,5,0.023,0.02,True,accept,False,,False,already in MulTaBench-Core
REG_TEXT_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,-,REG,PROFESSIONAL,True,5,10,5,9,3,3,0.021,0.017,True,accept,False,,False,already in MulTaBench-Core
BIN_TEXT_TRANSPORTATION_OSHA_ACCIDENT_INJURY_DATA,TextTabBench,BIN,TRANSPORTATION,False,5,10,5,9,2,2,0.014,0.003,True,reject,True,12.0,True,
REG_TEXT_SPORTS_FIFA22_WAGES,CARTE,REG,SPORTS,False,5,10,5,9,2,2,0.014,0.009,True,reject,True,13.0,True,
