size,rho,n_subsets,n_accepted_min,n_accepted_mean,n_accepted_max
1,0.51,5,18,25.8,30
1,0.6,5,18,25.8,30
1,0.7,5,18,25.8,30
1,0.8,5,18,25.8,30
1,0.9,5,18,25.8,30
1,1.0,5,18,25.8,30
2,0.51,10,12,17.8,22
2,0.6,10,12,17.8,22
2,0.7,10,12,17.8,22
2,0.8,10,12,17.8,22
2,0.9,10,12,17.8,22
2,1.0,10,12,17.8,22
3,0.51,10,22,24.8,28
3,0.6,10,22,24.8,28
3,0.7,10,11,14.3,19
3,0.8,10,11,14.3,19
3,0.9,10,11,14.3,19
3,1.0,10,11,14.3,19
4,0.51,5,19,20.0,21
4,0.6,5,19,20.0,21
4,0.7,5,19,20.0,21
4,0.8,5,11,12.4,15
4,0.9,5,11,12.4,15
4,1.0,5,11,12.4,15
5,0.51,1,23,23.0,23
5,0.6,1,23,23.0,23
5,0.7,1,18,18.0,18
5,0.8,1,18,18.0,18
5,0.9,1,11,11.0,11
5,1.0,1,11,11.0,11
