"Name","Created","Runtime","State","test_score","dataset","model","e5_model_name","fold","multimodal_state"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_img_4","2026-09-06T18:07:18.000Z","149","finished","0.4937240753966071","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","4","img"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_non_4","2026-09-06T18:03:39.000Z","216","finished","0.7469942075214172","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","4","non"
"tabpfnv2p5_REG_IMAGE_FLIPKART_RATIO_all_4","2026-09-06T17:57:38.000Z","357","finished","0.7717981001019079","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","4","all"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_img_4","2026-09-06T17:54:57.000Z","159","finished","0.4451491856020383","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","4","img"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_non_4","2026-09-06T17:50:56.000Z","236","finished","0.7163786319024169","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","4","non"
"tabpfnv2_REG_IMAGE_FLIPKART_RATIO_all_4","2026-09-06T17:44:30.000Z","380","finished","0.7271171930585307","REG_IMAGE_FLIPKART_RATIO","TabPFN-v2 🤯","intfloat/e5-small-v2","4","all"
"tabm_REG_IMAGE_FLIPKART_RATIO_img_4","2026-09-06T17:41:59.000Z","147","finished","0.452733884198107","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","4","img"
"tabm_REG_IMAGE_FLIPKART_RATIO_non_4","2026-09-06T17:38:19.000Z","217","finished","0.7033369150315087","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","4","non"
"tabm_REG_IMAGE_FLIPKART_RATIO_all_4","2026-09-06T17:32:40.000Z","334","finished","0.7150351719215473","REG_IMAGE_FLIPKART_RATIO","TabM Ⓜ️","intfloat/e5-small-v2","4","all"
"cat_REG_IMAGE_FLIPKART_RATIO_img_4","2026-09-06T17:30:19.000Z","135","finished","0.4295545358180686","REG_IMAGE_FLIPKART_RATIO","CatBoost 😸","intfloat/e5-small-v2","4","img"
