"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_BIN_TEXT_CALIFORNIA_PRICES_all_0","0.9923479923479924","0","all","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T20:56:15.000Z","1390","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_all_1","0.9937899937899938","1","all","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T21:44:57.000Z","2288","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_all_2","0.9940549940549941","2","all","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:16:11.000Z","495","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_all_3","0.9882909882909882","3","all","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:42:30.000Z","488","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_all_4","0.9915899915899916","4","all","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T23:15:07.000Z","1109","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_no_text_0","0.9916079916079916","0","no_text","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T20:36:38.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_no_text_1","0.9921309921309921","1","no_text","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T21:41:38.000Z","8","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_no_text_2","0.9923549923549924","2","no_text","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:10:51.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_no_text_3","0.9869359869359868","3","no_text","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:37:11.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_no_text_4","0.9890639890639892","4","no_text","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T23:10:44.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_text_only_0","0.9512389512389512","0","text_only","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T20:36:59.000Z","2224","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_text_only_1","0.9574109574109573","1","text_only","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T21:42:04.000Z","517","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_text_only_2","0.9633039633039633","2","text_only","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:11:12.000Z","1398","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_text_only_3","0.9574579574579576","3","text_only","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:37:32.000Z","1118","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_BIN_TEXT_CALIFORNIA_PRICES_text_only_4","0.9574699574699576","4","text_only","CatBoost 😸","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T23:11:06.000Z","2356","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_all_0","0.9925539925539926","0","all","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T20:33:18.000Z","1360","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_all_1","0.9939279939279939","1","all","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T21:38:45.000Z","1101","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_all_2","0.9934459934459934","2","all","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:08:08.000Z","467","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_all_3","0.9893919893919894","3","all","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:34:13.000Z","481","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_all_4","0.9916179916179916","4","all","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T23:07:13.000Z","457","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_no_text_0","0.9913109913109913","0","no_text","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T20:36:19.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_no_text_1","0.9913809913809913","1","no_text","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T21:33:20.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_no_text_2","0.9922729922729923","2","no_text","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:03:44.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_no_text_3","0.9867509867509868","3","no_text","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:34:46.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_no_text_4","0.9891849891849892","4","no_text","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T23:02:01.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_text_only_0","0.9449079449079449","0","text_only","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T20:31:18.000Z","2209","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_text_only_1","0.9559549559549559","1","text_only","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T21:33:41.000Z","460","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_text_only_2","0.960884960884961","2","text_only","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:04:06.000Z","1478","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_text_only_3","0.9533749533749534","3","text_only","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:35:08.000Z","1366","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_BIN_TEXT_CALIFORNIA_PRICES_text_only_4","0.9552809552809552","4","text_only","LightGBM 💡","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T23:02:22.000Z","2267","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_BIN_TEXT_CALIFORNIA_PRICES_all_0","0.9924899924899925","0","all","TabM Ⓜ️","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T21:14:21.000Z","2118","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_BIN_TEXT_CALIFORNIA_PRICES_all_1","0.9931319931319931","1","all","TabM Ⓜ️","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T21:49:57.000Z","2267","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_BIN_TEXT_CALIFORNIA_PRICES_all_2","0.9942489942489943","2","all","TabM Ⓜ️","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:23:24.000Z","2300","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_BIN_TEXT_CALIFORNIA_PRICES_all_3","0.987993987993988","3","all","TabM Ⓜ️","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:56:26.000Z","1105","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_BIN_TEXT_CALIFORNIA_PRICES_all_4","0.9902289902289902","4","all","TabM Ⓜ️","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T23:23:30.000Z","463","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_BIN_TEXT_CALIFORNIA_PRICES_no_text_0","0.9896769896769897","0","no_text","TabM Ⓜ️","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T21:08:28.000Z","10","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_BIN_TEXT_CALIFORNIA_PRICES_no_text_1","0.9925729925729925","1","no_text","TabM Ⓜ️","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T21:47:11.000Z","7","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_BIN_TEXT_CALIFORNIA_PRICES_no_text_2","0.9888979888979889","2","no_text","TabM Ⓜ️","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:18:05.000Z","5","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_BIN_TEXT_CALIFORNIA_PRICES_no_text_3","0.9860579860579861","3","no_text","TabM Ⓜ️","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T22:50:58.000Z","5","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_BIN_TEXT_CALIFORNIA_PRICES_no_text_4","0.989033989033989","4","no_text","TabM Ⓜ️","BIN_TEXT_CALIFORNIA_PRICES","2026-09-02T23:15:08.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
