"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_BIN_TEXT_IMDB_GENRE_all_0","0.8119047619047619","0","all","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:22:20.000Z","34","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_all_1","0.8523809523809525","1","all","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:24:05.000Z","37","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_all_2","0.8261904761904761","2","all","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:25:40.000Z","36","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_all_3","0.863095238095238","3","all","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:27:25.000Z","34","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_all_4","0.8309523809523809","4","all","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:29:05.000Z","36","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_no_text_0","0.7636904761904763","0","no_text","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:22:04.000Z","14","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_no_text_1","0.8732142857142857","1","no_text","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:23:44.000Z","15","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_no_text_2","0.8","2","no_text","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:25:29.000Z","14","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_no_text_3","0.8958333333333334","3","no_text","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:27:10.000Z","14","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_no_text_4","0.830952380952381","4","no_text","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:28:51.000Z","15","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_text_only_0","0.738095238095238","0","text_only","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:22:15.000Z","36","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_text_only_1","0.719047619047619","1","text_only","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:23:49.000Z","37","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_text_only_2","0.7285714285714286","2","text_only","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:25:30.000Z","36","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_text_only_3","0.8125000000000001","3","text_only","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:27:15.000Z","35","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_IMDB_GENRE_text_only_4","0.7172619047619048","4","text_only","CatBoost 😸","BIN_TEXT_IMDB_GENRE","2026-09-01T23:28:56.000Z","36","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_all_0","0.7738095238095238","0","all","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:21:43.000Z","33","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_all_1","0.8184523809523809","1","all","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:23:39.000Z","33","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_all_2","0.8428571428571429","2","all","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:25:29.000Z","33","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_all_3","0.8452380952380953","3","all","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:27:04.000Z","34","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_all_4","0.7785714285714286","4","all","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:28:44.000Z","32","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_no_text_0","0.7327380952380953","0","no_text","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:21:16.000Z","15","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_no_text_1","0.8648809523809524","1","no_text","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:23:23.000Z","15","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_no_text_2","0.756547619047619","2","no_text","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:25:09.000Z","14","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_no_text_3","0.8363095238095238","3","no_text","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:26:54.000Z","14","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_no_text_4","0.7988095238095239","4","no_text","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:28:30.000Z","14","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_text_only_0","0.7160714285714286","0","text_only","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:21:38.000Z","33","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_text_only_1","0.6892857142857143","1","text_only","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:23:39.000Z","32","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_text_only_2","0.6630952380952381","2","text_only","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:25:14.000Z","34","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_text_only_3","0.7702380952380953","3","text_only","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:26:55.000Z","33","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_IMDB_GENRE_text_only_4","0.6988095238095239","4","text_only","LightGBM 💡","BIN_TEXT_IMDB_GENRE","2026-09-01T23:28:39.000Z","33","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_BIN_TEXT_IMDB_GENRE_all_0","0.8172619047619047","0","all","TabM Ⓜ️","BIN_TEXT_IMDB_GENRE","2026-09-01T23:22:41.000Z","35","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_BIN_TEXT_IMDB_GENRE_all_1","0.9136904761904764","1","all","TabM Ⓜ️","BIN_TEXT_IMDB_GENRE","2026-09-01T23:24:16.000Z","35","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_BIN_TEXT_IMDB_GENRE_all_2","0.8047619047619048","2","all","TabM Ⓜ️","BIN_TEXT_IMDB_GENRE","2026-09-01T23:26:06.000Z","33","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_BIN_TEXT_IMDB_GENRE_all_3","0.8773809523809524","3","all","TabM Ⓜ️","BIN_TEXT_IMDB_GENRE","2026-09-01T23:27:41.000Z","34","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
