"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_BIN_TEXT_OSHA_INJURY_all_0","0.5887147903269632","0","all","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T22:44:53.000Z","112","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_all_1","0.584168100715515","1","all","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T22:49:04.000Z","113","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_all_2","0.610741780635812","2","all","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T22:53:09.000Z","114","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_all_3","0.5705099175799293","3","all","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T22:57:12.000Z","105","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_all_4","0.6324427135223258","4","all","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T23:01:11.000Z","107","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_no_text_0","0.595543881894756","0","no_text","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T22:44:41.000Z","23","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_no_text_1","0.5700932886513903","1","no_text","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T22:48:36.000Z","19","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_no_text_2","0.6124082963499683","2","no_text","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T22:52:42.000Z","23","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_no_text_3","0.5495607281949099","3","no_text","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T22:56:41.000Z","26","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_no_text_4","0.6083597500226429","4","no_text","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T23:00:50.000Z","19","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_text_only_0","0.5548229327053709","0","text_only","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T22:44:51.000Z","105","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_text_only_1","0.5767050086042931","1","text_only","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T22:48:57.000Z","103","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_text_only_2","0.5838601575944208","2","text_only","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T22:53:01.000Z","99","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_text_only_3","0.5645684267729373","3","text_only","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T22:57:10.000Z","102","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_BIN_TEXT_OSHA_INJURY_text_only_4","0.5993478851553301","4","text_only","CatBoost 😸","BIN_TEXT_OSHA_INJURY","2026-09-01T23:01:10.000Z","103","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_OSHA_INJURY_all_0","0.5764876369894031","0","all","LightGBM 💡","BIN_TEXT_OSHA_INJURY","2026-09-01T22:44:22.000Z","103","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_OSHA_INJURY_all_1","0.558536364459741","1","all","LightGBM 💡","BIN_TEXT_OSHA_INJURY","2026-09-01T22:48:33.000Z","101","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_BIN_TEXT_OSHA_INJURY_all_2","0.5622860248165927","2","all","LightGBM 💡","BIN_TEXT_OSHA_INJURY","2026-09-01T22:52:39.000Z","102","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
