"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_0","0.9963931458705637","0","all","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:17:16.000Z","459","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_1","0.9973068114244459","1","all","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:27:02.000Z","351","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_2","0.9958949326239223","2","all","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:37:22.000Z","500","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_3","0.997036369045861","3","all","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:46:01.000Z","367","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_4","0.995979796318656","4","all","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:56:44.000Z","716","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_0","0.9919603893358964","0","no_text","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:15:59.000Z","16","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_1","0.9934236785209297","1","no_text","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:26:36.000Z","11","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_2","0.9932398182160547","2","no_text","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:34:44.000Z","21","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_3","0.9936433006487283","3","no_text","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:45:30.000Z","16","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_4","0.9927598155376784","4","no_text","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:56:07.000Z","19","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_0","0.9903672614765181","0","text_only","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:16:35.000Z","695","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_1","0.9905673760158937","1","text_only","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:25:21.000Z","168","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_2","0.9904101171541437","2","text_only","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:35:22.000Z","168","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_3","0.9912707437898485","3","text_only","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:45:59.000Z","481","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_4","0.9889550890651844","4","text_only","CatBoost 😸","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:55:12.000Z","158","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_0","0.9969936798173709","0","all","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:14:04.000Z","143","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_1","0.997788956106412","1","all","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:25:11.000Z","408","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_2","0.9964068389641936","2","all","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:33:29.000Z","330","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_3","0.9974809314972293","3","all","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:43:42.000Z","141","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_4","0.9961971870937522","4","all","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:54:36.000Z","441","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_0","0.9945356466256975","0","no_text","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:13:58.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_1","0.9956805346770542","1","no_text","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:22:21.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_2","0.9946707604432341","2","no_text","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:33:08.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_3","0.9949800092159329","3","no_text","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:44:12.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_4","0.9945213870217973","4","no_text","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:54:15.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_0","0.989817470377553","0","text_only","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:14:14.000Z","330","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_1","0.9901227371903929","1","text_only","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:22:41.000Z","145","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_2","0.9903886366870818","2","text_only","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:31:57.000Z","151","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_3","0.9913786052368788","3","text_only","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:44:34.000Z","675","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_4","0.9884595525635431","4","text_only","LightGBM 💡","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:54:25.000Z","682","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_0","0.9951998412928033","0","all","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:18:36.000Z","708","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_1","0.995376663615426","1","all","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:29:31.000Z","451","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_2","0.9954855866241538","2","all","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:38:24.000Z","149","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_3","0.9941488548848497","3","all","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:49:41.000Z","413","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_4","0.9954714026566164","4","all","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:59:10.000Z","341","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_0","0.9923734975162288","0","no_text","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:16:46.000Z","5","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_1","0.9932658930781791","1","no_text","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:28:25.000Z","24","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_2","0.9930226349624416","2","no_text","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:39:13.000Z","12","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_3","0.9909107238834153","3","no_text","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:46:19.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_4","0.9906938202698857","4","no_text","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:56:50.000Z","8","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_0","0.9887948679878387","0","text_only","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:17:06.000Z","143","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_1","0.988556864347492","1","text_only","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:29:07.000Z","692","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_2","0.9881883095153585","2","text_only","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:39:41.000Z","333","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_3","0.9909474518025757","3","text_only","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:46:40.000Z","142","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_4","0.9885570556324768","4","text_only","TabM Ⓜ️","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:57:17.000Z","419","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_0","0.9930750576776545","0","all","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:19:59.000Z","378","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_1","0.9945401082711761","1","all","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:30:16.000Z","613","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_2","0.9943591779615956","2","all","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:40:49.000Z","514","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_3","0.9953551896546647","3","all","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:49:39.000Z","167","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_all_4","0.9925801889418141","4","all","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T01:01:23.000Z","602","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_0","0.9933917808019228","0","no_text","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:19:35.000Z","6","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_1","0.9942859152889125","1","no_text","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:28:26.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_2","0.9941198347801883","2","no_text","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:40:28.000Z","6","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_3","0.9937418681357609","3","no_text","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:49:17.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_no_text_4","0.9933910316738632","4","no_text","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:58:10.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_0","0.987330751442905","0","text_only","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:19:53.000Z","606","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_1","0.9870147262169515","1","text_only","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:28:48.000Z","169","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_MUL_TEXT_AMERICAN_EAGLE_PRICES_text_only_2","0.9882058664273371","2","text_only","TabPFN-v2 🤯","MUL_TEXT_AMERICAN_EAGLE_PRICES","2026-09-03T00:40:45.000Z","599","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
