"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_MUL_TEXT_BOOKS_GOODREADS_all_0","0.7566917134746536","0","all","CatBoost 😸","MUL_TEXT_BOOKS_GOODREADS","2026-09-02T23:40:48.000Z","196","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_BOOKS_GOODREADS_all_1","0.7784384336880174","1","all","CatBoost 😸","MUL_TEXT_BOOKS_GOODREADS","2026-09-02T23:51:01.000Z","386","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_BOOKS_GOODREADS_all_2","0.7414869068230315","2","all","CatBoost 😸","MUL_TEXT_BOOKS_GOODREADS","2026-09-02T23:59:00.000Z","250","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_BOOKS_GOODREADS_all_3","0.8004509892911221","3","all","CatBoost 😸","MUL_TEXT_BOOKS_GOODREADS","2026-09-03T00:02:59.000Z","104","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_BOOKS_GOODREADS_all_4","0.7494206287118433","4","all","CatBoost 😸","MUL_TEXT_BOOKS_GOODREADS","2026-09-03T00:08:52.000Z","98","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_BOOKS_GOODREADS_no_text_0","0.7013489320940912","0","no_text","CatBoost 😸","MUL_TEXT_BOOKS_GOODREADS","2026-09-02T23:40:30.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_BOOKS_GOODREADS_no_text_1","0.7134909372248762","1","no_text","CatBoost 😸","MUL_TEXT_BOOKS_GOODREADS","2026-09-02T23:50:39.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_BOOKS_GOODREADS_no_text_2","0.6833341457739213","2","no_text","CatBoost 😸","MUL_TEXT_BOOKS_GOODREADS","2026-09-02T23:56:51.000Z","7","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_BOOKS_GOODREADS_no_text_3","0.7174996007960357","3","no_text","CatBoost 😸","MUL_TEXT_BOOKS_GOODREADS","2026-09-03T00:04:08.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_MUL_TEXT_BOOKS_GOODREADS_no_text_4","0.7055114104842817","4","no_text","CatBoost 😸","MUL_TEXT_BOOKS_GOODREADS","2026-09-03T00:09:51.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
