"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_all_0","0.9020462580440954","0","all","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T21:26:34.000Z","393","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_all_1","0.904956931532382","1","all","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T21:39:22.000Z","399","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_all_2","0.9075844524715296","2","all","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T21:52:41.000Z","398","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_all_3","0.901568377546182","3","all","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T22:05:51.000Z","399","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_all_4","0.9065082862097362","4","all","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T22:18:59.000Z","403","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_no_text_0","0.8465853039574223","0","no_text","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T21:25:54.000Z","36","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_no_text_1","0.8472727482564505","1","no_text","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T21:39:11.000Z","37","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_no_text_2","0.8612993824920266","2","no_text","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T21:51:45.000Z","34","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_no_text_3","0.855240313800075","3","no_text","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T22:04:58.000Z","38","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_no_text_4","0.8634550129146054","4","no_text","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T22:18:17.000Z","42","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_text_only_0","0.8711103038199599","0","text_only","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T21:26:03.000Z","365","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_text_only_1","0.8623554439786685","1","text_only","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T21:39:13.000Z","353","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_text_only_2","0.8912866182218022","2","text_only","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T21:52:22.000Z","354","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_text_only_3","0.8699740461599845","3","text_only","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T22:05:40.000Z","357","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_CONSUMER_COMPLAINT_text_only_4","0.8810655140735791","4","text_only","CatBoost 😸","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T22:18:59.000Z","383","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_CONSUMER_COMPLAINT_all_0","0.8932862277590434","0","all","LightGBM 💡","MUL_TEXT_CONSUMER_COMPLAINT","2026-09-01T21:20:03.000Z","354","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
