"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_all_0","0.88454067061172","0","all","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:28:04.000Z","85","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_all_1","0.9181098135697952","1","all","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:33:17.000Z","84","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_all_2","0.8869336031946862","2","all","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:36:02.000Z","82","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_all_3","0.8913539095865032","3","all","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:38:58.000Z","88","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_all_4","0.9075689167268004","4","all","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:41:54.000Z","99","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_no_text_0","0.8030157894972767","0","no_text","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:27:16.000Z","20","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_no_text_1","0.792145133685219","1","no_text","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:32:36.000Z","22","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_no_text_2","0.775813539752277","2","no_text","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:35:35.000Z","21","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_no_text_3","0.8034934014352038","3","no_text","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:38:31.000Z","20","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_no_text_4","0.7810850024941828","4","no_text","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:41:32.000Z","20","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_text_only_0","0.8536510456149491","0","text_only","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:27:42.000Z","74","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_text_only_1","0.8822584659861648","1","text_only","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:33:03.000Z","75","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_text_only_2","0.851463762823267","2","text_only","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:35:59.000Z","72","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_text_only_3","0.859381740224466","3","text_only","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:38:50.000Z","77","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_HEARTHSTONE_CARDS_text_only_4","0.8804564280237243","4","text_only","CatBoost 😸","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:41:54.000Z","87","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_HEARTHSTONE_CARDS_all_0","0.8612462955361504","0","all","LightGBM 💡","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:26:56.000Z","66","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_HEARTHSTONE_CARDS_all_1","0.8913154996478081","1","all","LightGBM 💡","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:32:22.000Z","67","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_HEARTHSTONE_CARDS_all_2","0.8655311549413789","2","all","LightGBM 💡","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:35:26.000Z","67","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_HEARTHSTONE_CARDS_all_3","0.8707990346971124","3","all","LightGBM 💡","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:38:24.000Z","68","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_HEARTHSTONE_CARDS_all_4","0.8769513935602493","4","all","LightGBM 💡","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:41:24.000Z","66","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_HEARTHSTONE_CARDS_no_text_0","0.7236959110021983","0","no_text","LightGBM 💡","MUL_TEXT_HEARTHSTONE_CARDS","2026-09-01T22:25:46.000Z","17","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
