"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_all_0","0.836201348190779","0","all","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-01T23:30:42.000Z","1448","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_all_1","0.828637517025873","1","all","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:20:02.000Z","1467","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_all_2","0.8322699558755214","2","all","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:09:41.000Z","1510","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_all_3","0.8429072522613819","3","all","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:58:47.000Z","1497","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_all_4","0.8393704620134372","4","all","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:47:30.000Z","1487","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_no_text_0","0.8374835727992368","0","no_text","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-01T23:30:40.000Z","85","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_no_text_1","0.8289490956641894","1","no_text","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:18:54.000Z","64","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_no_text_2","0.8320620987164002","2","no_text","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:09:01.000Z","77","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_no_text_3","0.8404591764867323","3","no_text","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:57:34.000Z","69","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_no_text_4","0.8316175439745621","4","no_text","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:46:11.000Z","72","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_text_only_0","0.7814457446711797","0","text_only","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-01T23:30:40.000Z","1347","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_text_only_1","0.7776845666034589","1","text_only","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:19:54.000Z","1415","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_text_only_2","0.7811560972258874","2","text_only","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:09:03.000Z","1467","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_text_only_3","0.7883194183072305","3","text_only","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:57:52.000Z","1460","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_MELBOURNE_AIRBNB_text_only_4","0.7743895418039266","4","text_only","CatBoost 😸","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:46:34.000Z","1459","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_all_0","0.8171779281657798","0","all","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-01T23:30:29.000Z","1332","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_all_1","0.8183137537380697","1","all","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:17:35.000Z","1257","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_all_2","0.8142014410759316","2","all","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:03:34.000Z","1259","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_all_3","0.8276403505639449","3","all","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:48:19.000Z","1257","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_all_4","0.8183995415806568","4","all","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:33:09.000Z","1259","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_no_text_0","0.8130791138347162","0","no_text","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-01T23:30:16.000Z","22","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_no_text_1","0.8203139088279727","1","no_text","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:14:38.000Z","20","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_no_text_2","0.8115621514820722","2","no_text","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:59:06.000Z","21","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_no_text_3","0.8244061907561246","3","no_text","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:43:47.000Z","21","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_no_text_4","0.8190362935222705","4","no_text","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:28:20.000Z","19","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_text_only_0","0.7543345251235192","0","text_only","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-01T23:30:20.000Z","1342","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_text_only_1","0.7545139733210112","1","text_only","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:15:05.000Z","1297","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_text_only_2","0.7612495875621514","2","text_only","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:59:33.000Z","1301","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_text_only_3","0.7684949067882323","3","text_only","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:44:14.000Z","1299","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"light_MUL_TEXT_MELBOURNE_AIRBNB_text_only_4","0.7528690242912942","4","text_only","LightGBM 💡","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:28:46.000Z","1302","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_all_0","0.8446071235187246","0","all","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-01T23:52:47.000Z","1306","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_all_1","0.8439257405591658","1","all","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:36:45.000Z","1336","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_all_2","0.8451741345782905","2","all","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:21:17.000Z","1345","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_all_3","0.8553848785105735","3","all","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:05:55.000Z","1343","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_all_4","0.8469982755953526","4","all","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:50:31.000Z","1348","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_no_text_0","0.8414791398398662","0","no_text","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-01T23:32:09.000Z","27","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_no_text_1","0.8400417905434889","1","no_text","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:20:34.000Z","24","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_no_text_2","0.833975573325245","2","no_text","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:10:20.000Z","23","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_no_text_3","0.8479885960804321","3","no_text","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:58:52.000Z","24","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_no_text_4","0.8411049250741494","4","no_text","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:47:55.000Z","27","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_text_only_0","0.8018628606555914","0","text_only","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-01T23:32:40.000Z","1330","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_text_only_1","0.7908406368906284","1","text_only","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:21:06.000Z","1340","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_text_only_2","0.7954739706823885","2","text_only","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:10:46.000Z","1355","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_text_only_3","0.8095894768571593","3","text_only","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:59:18.000Z","1354","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabm_MUL_TEXT_MELBOURNE_AIRBNB_text_only_4","0.7967254782248221","4","text_only","TabM Ⓜ️","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:48:27.000Z","1347","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabpfnv2_MUL_TEXT_MELBOURNE_AIRBNB_all_0","0.8453486911256312","0","all","TabPFN-v2 🤯","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-01T23:53:24.000Z","1524","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabpfnv2_MUL_TEXT_MELBOURNE_AIRBNB_all_1","0.8375700944357483","1","all","TabPFN-v2 🤯","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:43:33.000Z","1523","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabpfnv2_MUL_TEXT_MELBOURNE_AIRBNB_all_2","0.8413895152672876","2","all","TabPFN-v2 🤯","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:33:24.000Z","1448","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabpfnv2_MUL_TEXT_MELBOURNE_AIRBNB_all_3","0.8556850592688605","3","all","TabPFN-v2 🤯","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:21:55.000Z","1452","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabpfnv2_MUL_TEXT_MELBOURNE_AIRBNB_all_4","0.8470574442306322","4","all","TabPFN-v2 🤯","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T03:10:56.000Z","1439","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabpfnv2_MUL_TEXT_MELBOURNE_AIRBNB_no_text_0","0.8432573873317647","0","no_text","TabPFN-v2 🤯","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-01T23:52:47.000Z","33","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabpfnv2_MUL_TEXT_MELBOURNE_AIRBNB_no_text_1","0.8348100350568755","1","no_text","TabPFN-v2 🤯","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T00:38:38.000Z","28","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabpfnv2_MUL_TEXT_MELBOURNE_AIRBNB_no_text_2","0.8416002691680253","2","no_text","TabPFN-v2 🤯","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T01:24:37.000Z","27","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabpfnv2_MUL_TEXT_MELBOURNE_AIRBNB_no_text_3","0.847329978484859","3","no_text","TabPFN-v2 🤯","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:09:20.000Z","28","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"tabpfnv2_MUL_TEXT_MELBOURNE_AIRBNB_no_text_4","0.8367646491209744","4","no_text","TabPFN-v2 🤯","MUL_TEXT_MELBOURNE_AIRBNB","2026-09-02T02:54:14.000Z","28","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
