"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_MUL_TEXT_NEWS_CHANNEL_all_0","0.7928280090447725","0","all","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:05:12.000Z","87","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_all_1","0.8005816535456174","1","all","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:08:41.000Z","86","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_all_2","0.7987044629274899","2","all","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:12:06.000Z","87","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_all_3","0.804074044669723","3","all","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:15:30.000Z","87","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_all_4","0.7962896992504372","4","all","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:18:56.000Z","89","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_no_text_0","0.7920276737943266","0","no_text","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:04:50.000Z","18","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_no_text_1","0.7976746791222834","1","no_text","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:08:20.000Z","18","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_no_text_2","0.7962190003084451","2","no_text","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:11:31.000Z","19","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_no_text_3","0.8004400532220419","3","no_text","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:15:05.000Z","18","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_no_text_4","0.7898834710749983","4","no_text","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:18:34.000Z","18","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_text_only_0","0.6096010537665474","0","text_only","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:05:09.000Z","83","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_text_only_1","0.6219368872689426","1","text_only","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:08:21.000Z","85","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_text_only_2","0.6056874623740321","2","text_only","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:11:57.000Z","82","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_text_only_3","0.6130351704872091","3","text_only","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:15:26.000Z","81","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
"cat_MUL_TEXT_NEWS_CHANNEL_text_only_4","0.6077090091638953","4","text_only","CatBoost 😸","MUL_TEXT_NEWS_CHANNEL","2026-09-01T23:18:55.000Z","87","finished","intfloat/e5-small-v2","6778aef","zzlutjez"
