"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_REG_TEXT_AIRBNB_SEATTLE_all_0","0.7093330712991445","0","all","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:03:09.000Z","409","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_all_1","0.6931841227852383","1","all","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:14:02.000Z","620","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_all_2","0.6165132907435603","2","all","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:23:31.000Z","230","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_all_3","0.711625198966785","3","all","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:34:57.000Z","252","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_all_4","0.5445641911913424","4","all","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:46:12.000Z","409","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_no_text_0","0.680180900315002","0","no_text","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:02:40.000Z","14","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_no_text_1","0.6820792961342117","1","no_text","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:12:17.000Z","124","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_no_text_2","0.6434837173545858","2","no_text","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:24:39.000Z","28","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_no_text_3","0.6871654728739311","3","no_text","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:32:47.000Z","112","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_no_text_4","0.5355346986121894","4","no_text","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:44:22.000Z","73","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_text_only_0","0.4678973478354941","0","text_only","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:03:01.000Z","642","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_text_only_1","0.36611699874412396","1","text_only","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:13:49.000Z","307","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_text_only_2","0.478473757728901","2","text_only","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:24:43.000Z","635","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_text_only_3","0.47976051845308176","3","text_only","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:35:37.000Z","597","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_AIRBNB_SEATTLE_text_only_4","0.35115684117881263","4","text_only","CatBoost 😸","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:45:52.000Z","641","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_AIRBNB_SEATTLE_all_0","0.6817031480291822","0","all","LightGBM 💡","REG_TEXT_AIRBNB_SEATTLE","2026-09-03T03:00:39.000Z","148","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
