"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_REG_TEXT_ANIME_PLANET_all_0","0.7264263810642879","0","all","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T03:54:43.000Z","214","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_all_1","0.7467836183862581","1","all","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T04:08:41.000Z","617","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_all_2","0.7447167328285835","2","all","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T04:19:34.000Z","619","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_all_3","0.7518691304509947","3","all","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T04:31:18.000Z","217","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_all_4","0.741459787573258","4","all","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T04:46:41.000Z","928","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_no_text_0","0.6370528630606952","0","no_text","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T03:55:37.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_no_text_1","0.651882140982744","1","no_text","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T04:05:41.000Z","10","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_no_text_2","0.6816337492301201","2","no_text","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T04:19:13.000Z","5","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_no_text_3","0.6557725104947971","3","no_text","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T04:32:19.000Z","9","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_no_text_4","0.6736777256013604","4","no_text","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T04:44:49.000Z","5","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_text_only_0","0.6065531612405098","0","text_only","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T03:55:58.000Z","449","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_text_only_1","0.6242433600348267","1","text_only","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T04:06:08.000Z","209","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_text_only_2","0.6192898571217094","2","text_only","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T04:19:16.000Z","449","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_text_only_3","0.6247448029701708","3","text_only","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T04:32:46.000Z","927","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_ANIME_PLANET_text_only_4","0.6025960230426602","4","text_only","CatBoost 😸","REG_TEXT_ANIME_PLANET","2026-09-03T04:45:11.000Z","557","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_ANIME_PLANET_all_0","0.7033672924670538","0","all","LightGBM 💡","REG_TEXT_ANIME_PLANET","2026-09-03T03:53:22.000Z","547","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_ANIME_PLANET_all_1","0.7302587216887804","1","all","LightGBM 💡","REG_TEXT_ANIME_PLANET","2026-09-03T04:02:23.000Z","184","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_ANIME_PLANET_all_2","0.7339527624597637","2","all","LightGBM 💡","REG_TEXT_ANIME_PLANET","2026-09-03T04:16:57.000Z","180","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_ANIME_PLANET_all_3","0.7358046016371314","3","all","LightGBM 💡","REG_TEXT_ANIME_PLANET","2026-09-03T04:31:12.000Z","910","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_ANIME_PLANET_all_4","0.7294608168550837","4","all","LightGBM 💡","REG_TEXT_ANIME_PLANET","2026-09-03T04:42:43.000Z","182","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_ANIME_PLANET_no_text_0","0.6368285025373921","0","no_text","LightGBM 💡","REG_TEXT_ANIME_PLANET","2026-09-03T03:51:00.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
