"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_0","0.22702478561369466","0","all","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:09:14.000Z","20","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_1","0.2781890165127887","1","all","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:13:57.000Z","31","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_2","0.20348070925279393","2","all","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:15:01.000Z","33","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_3","0.22616341695358655","3","all","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:18:20.000Z","49","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_4","0.31918067087011903","4","all","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:19:30.000Z","29","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_no_text_0","0.11353153440377606","0","no_text","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:08:46.000Z","9","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_no_text_1","0.18426604254284262","1","no_text","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:11:57.000Z","16","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_no_text_2","0.10068031851867287","2","no_text","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:14:30.000Z","16","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_no_text_3","0.14602658091110832","3","no_text","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:17:59.000Z","6","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_no_text_4","0.19188987930924506","4","no_text","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:19:28.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_text_only_0","0.15043800731504697","0","text_only","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:10:15.000Z","28","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_text_only_1","0.1208446869912072","1","text_only","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:12:28.000Z","19","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_text_only_2","0.09022030632175104","2","text_only","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:16:13.000Z","25","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_text_only_3","0.08541947611756506","3","text_only","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:18:09.000Z","47","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_CHOCOLATE_BAR_RATINGS_text_only_4","0.1288583050988309","4","text_only","CatBoost 😸","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:19:28.000Z","28","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_0","0.22939920442933792","0","all","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:08:19.000Z","12","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_1","0.256493553921862","1","all","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:13:14.000Z","27","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_2","0.12581270356985474","2","all","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:15:56.000Z","45","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_3","0.14576228465078356","3","all","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:16:31.000Z","12","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_4","0.20984989060770354","4","all","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:17:51.000Z","12","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_no_text_0","0.21894346092866157","0","no_text","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:07:59.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_no_text_1","0.23755322212515717","1","no_text","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:11:31.000Z","12","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_no_text_2","0.09505048828858431","2","no_text","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:15:39.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_no_text_3","0.10441462526368595","3","no_text","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:17:41.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_no_text_4","0.23728144767316317","4","no_text","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:19:14.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_text_only_0","0.14856860215544854","0","text_only","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:09:34.000Z","27","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_text_only_1","0.10191060194103596","1","text_only","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:13:13.000Z","45","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_text_only_2","0.007607788947848637","2","text_only","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:15:47.000Z","27","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_text_only_3","0.04655512302992737","3","text_only","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:17:54.000Z","22","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_CHOCOLATE_BAR_RATINGS_text_only_4","0.1330123756517858","4","text_only","LightGBM 💡","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:19:16.000Z","45","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_0","0.2651280434406371","0","all","TabM Ⓜ️","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:11:19.000Z","28","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_1","0.2944280371427326","1","all","TabM Ⓜ️","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:14:37.000Z","47","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_2","0.1923747803214204","2","all","TabM Ⓜ️","REG_TEXT_CHOCOLATE_BAR_RATINGS","2026-09-03T02:16:50.000Z","27","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
