"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_REG_TEXT_FIFA22_WAGES_all_0","0.7995608654351423","0","all","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:34:42.000Z","92","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_all_1","0.7245363028932663","1","all","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:37:15.000Z","69","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_all_2","0.7735576892407304","2","all","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:39:46.000Z","138","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_all_3","0.7947637647927854","3","all","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:40:59.000Z","30","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_all_4","0.7880837552575555","4","all","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:45:27.000Z","67","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_no_text_0","0.7785089136128377","0","no_text","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:34:21.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_no_text_1","0.7426802307558171","1","no_text","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:36:54.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_no_text_2","0.7533171340116628","2","no_text","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:39:26.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_no_text_3","0.7944455749293127","3","no_text","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:40:38.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_no_text_4","0.7679121413949341","4","no_text","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:45:06.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_text_only_0","0.0519644545817598","0","text_only","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:33:06.000Z","30","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_text_only_1","0.03922606059203082","1","text_only","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:35:38.000Z","29","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_text_only_2","0.043472750843798424","2","text_only","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:39:26.000Z","81","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_text_only_3","0.059974923920486534","3","text_only","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:42:24.000Z","136","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_FIFA22_WAGES_text_only_4","0.04723666259632553","4","text_only","CatBoost 😸","REG_TEXT_FIFA22_WAGES","2026-09-03T05:45:16.000Z","90","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_all_0","0.8044133658369429","0","all","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:34:12.000Z","66","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_all_1","0.716397428660926","1","all","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:36:47.000Z","89","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_all_2","0.7733824090308783","2","all","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:37:53.000Z","28","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_all_3","0.7805170505933117","3","all","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:42:04.000Z","93","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_all_4","0.7899851451853037","4","all","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:44:59.000Z","137","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_no_text_0","0.7740545117095728","0","no_text","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:33:51.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_no_text_1","0.7176390764302902","1","no_text","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:36:31.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_no_text_2","0.75053433131645","2","no_text","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:39:04.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_no_text_3","0.7628284480536516","3","no_text","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:41:47.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_no_text_4","0.7770058572186063","4","no_text","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:44:45.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_text_only_0","0.049809255349429704","0","text_only","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:32:24.000Z","28","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_text_only_1","0.040489413884101766","1","text_only","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:36:33.000Z","136","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_text_only_2","0.02926381589429372","2","text_only","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:39:05.000Z","65","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_text_only_3","0.041359056391707005","3","text_only","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:41:58.000Z","65","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_FIFA22_WAGES_text_only_4","0.04491636868072568","4","text_only","LightGBM 💡","REG_TEXT_FIFA22_WAGES","2026-09-03T05:43:26.000Z","28","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_all_0","0.7934557828991787","0","all","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:33:52.000Z","31","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_all_1","0.7509762315867357","1","all","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:36:25.000Z","31","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_all_2","0.7640232327392296","2","all","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:40:28.000Z","71","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_all_3","0.8065137335729631","3","all","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:43:26.000Z","96","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_all_4","0.7722132229812131","4","all","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:44:29.000Z","32","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_no_text_0","0.766566751203316","0","no_text","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:35:04.000Z","9","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_no_text_1","0.758339001598454","1","no_text","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:37:15.000Z","9","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_no_text_2","0.7779027136379016","2","no_text","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:38:36.000Z","6","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_no_text_3","0.79277467124159","3","no_text","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:41:46.000Z","5","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_no_text_4","0.7618083618114291","4","no_text","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:44:09.000Z","6","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_text_only_0","0.05357187949936626","0","text_only","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:35:10.000Z","87","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_text_only_1","0.04251645013521532","1","text_only","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:37:42.000Z","85","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_text_only_2","0.03945313708194065","2","text_only","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:38:58.000Z","30","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_text_only_3","0.06335697291030606","3","text_only","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:43:21.000Z","68","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabm_REG_TEXT_FIFA22_WAGES_text_only_4","0.04706446756919691","4","text_only","TabM Ⓜ️","REG_TEXT_FIFA22_WAGES","2026-09-03T05:45:43.000Z","85","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"tabpfnv2_REG_TEXT_FIFA22_WAGES_all_0","0.7810894216244613","0","all","TabPFN-v2 🤯","REG_TEXT_FIFA22_WAGES","2026-09-03T05:35:35.000Z","83","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
