"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_REG_TEXT_USED_CAR_PAKISTAN_all_0","0.8613073867631681","0","all","CatBoost 😸","REG_TEXT_USED_CAR_PAKISTAN","2026-09-03T04:58:15.000Z","168","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_PAKISTAN_all_1","0.9740538971636342","1","all","CatBoost 😸","REG_TEXT_USED_CAR_PAKISTAN","2026-09-03T05:05:01.000Z","284","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_PAKISTAN_all_2","0.946577202414142","2","all","CatBoost 😸","REG_TEXT_USED_CAR_PAKISTAN","2026-09-03T05:07:59.000Z","85","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_PAKISTAN_all_3","0.9608439543339371","3","all","CatBoost 😸","REG_TEXT_USED_CAR_PAKISTAN","2026-09-03T05:12:25.000Z","86","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_PAKISTAN_all_4","0.9464829652577643","4","all","CatBoost 😸","REG_TEXT_USED_CAR_PAKISTAN","2026-09-03T05:17:25.000Z","86","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_PAKISTAN_no_text_0","0.8173613998502016","0","no_text","CatBoost 😸","REG_TEXT_USED_CAR_PAKISTAN","2026-09-03T04:55:27.000Z","10","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_PAKISTAN_no_text_1","0.9458606016251995","1","no_text","CatBoost 😸","REG_TEXT_USED_CAR_PAKISTAN","2026-09-03T05:04:35.000Z","8","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_PAKISTAN_no_text_2","0.8329362195252362","2","no_text","CatBoost 😸","REG_TEXT_USED_CAR_PAKISTAN","2026-09-03T05:09:04.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_PAKISTAN_no_text_3","0.8885887531395387","3","no_text","CatBoost 😸","REG_TEXT_USED_CAR_PAKISTAN","2026-09-03T05:13:18.000Z","7","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_PAKISTAN_no_text_4","0.8780149059434961","4","no_text","CatBoost 😸","REG_TEXT_USED_CAR_PAKISTAN","2026-09-03T05:16:48.000Z","19","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_PAKISTAN_text_only_0","0.7648138200415838","0","text_only","CatBoost 😸","REG_TEXT_USED_CAR_PAKISTAN","2026-09-03T04:55:53.000Z","81","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_PAKISTAN_text_only_1","0.922212847579989","1","text_only","CatBoost 😸","REG_TEXT_USED_CAR_PAKISTAN","2026-09-03T05:03:25.000Z","68","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
