"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_REG_TEXT_USED_CAR_SAUDI_all_0","0.8863000078905657","0","all","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:23:05.000Z","61","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_all_1","0.9326610793718206","1","all","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:25:38.000Z","69","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_all_2","0.9142465344389163","2","all","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:27:47.000Z","61","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_all_3","0.8694397858455566","3","all","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:30:22.000Z","111","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_all_4","0.8910577439094142","4","all","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:30:59.000Z","69","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_no_text_0","0.8255250820650208","0","no_text","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:22:38.000Z","10","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_no_text_1","0.8288875703278604","1","no_text","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:25:11.000Z","8","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_no_text_2","0.8847660925295467","2","no_text","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:27:24.000Z","11","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_no_text_3","0.8488671567285149","3","no_text","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:28:22.000Z","51","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_no_text_4","0.8636451271625601","4","no_text","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:31:55.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_text_only_0","0.26242418566103076","0","text_only","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:22:49.000Z","60","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_text_only_1","0.19095878279309086","1","text_only","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:25:37.000Z","47","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_text_only_2","0.23716425669701524","2","text_only","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:26:05.000Z","23","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_text_only_3","0.07569176476720607","3","text_only","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:29:59.000Z","59","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_USED_CAR_SAUDI_text_only_4","0.16206022916805707","4","text_only","CatBoost 😸","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:32:16.000Z","64","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_USED_CAR_SAUDI_all_0","0.8753444256417573","0","all","LightGBM 💡","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:22:35.000Z","95","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_USED_CAR_SAUDI_all_1","0.91669143991905","1","all","LightGBM 💡","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:23:44.000Z","22","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_USED_CAR_SAUDI_all_2","0.9137791789433778","2","all","LightGBM 💡","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:27:21.000Z","57","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_USED_CAR_SAUDI_all_3","0.8446221792947627","3","all","LightGBM 💡","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:29:23.000Z","46","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"light_REG_TEXT_USED_CAR_SAUDI_all_4","0.8893804708345011","4","all","LightGBM 💡","REG_TEXT_USED_CAR_SAUDI","2026-09-03T05:30:22.000Z","21","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
