"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_REG_TEXT_WIKILIQ_PRICES_all_0","0.4195470057639772","0","all","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T01:20:06.000Z","434","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WIKILIQ_PRICES_all_1","0.2221208397613521","1","all","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T01:27:19.000Z","173","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WIKILIQ_PRICES_all_2","0.19520238834712744","2","all","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T01:39:32.000Z","180","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WIKILIQ_PRICES_all_3","0.416811403662796","3","all","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T01:49:28.000Z","172","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WIKILIQ_PRICES_all_4","0.13585152498848851","4","all","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T02:01:26.000Z","135","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WIKILIQ_PRICES_no_text_0","0.0014615172260823428","0","no_text","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T01:19:50.000Z","1","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WIKILIQ_PRICES_no_text_1","-2.321850355648938","1","no_text","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T01:27:37.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WIKILIQ_PRICES_no_text_2","-0.01221496415287815","2","no_text","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T01:36:01.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WIKILIQ_PRICES_no_text_3","0.2808954724944689","3","no_text","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T01:50:19.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WIKILIQ_PRICES_no_text_4","0.151336397547975","4","no_text","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T02:02:37.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WIKILIQ_PRICES_text_only_0","0.39065095838365194","0","text_only","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T01:19:58.000Z","662","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WIKILIQ_PRICES_text_only_1","0.2843724707452422","1","text_only","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T01:27:58.000Z","425","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WIKILIQ_PRICES_text_only_2","0.20435085199189285","2","text_only","CatBoost 😸","REG_TEXT_WIKILIQ_PRICES","2026-09-03T01:36:23.000Z","174","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
