"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_REG_TEXT_WINE_POLISH_MARKET_all_0","0.5416270166764872","0","all","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:31:13.000Z","90","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_all_1","0.6772379218080593","1","all","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:33:51.000Z","101","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_all_2","0.7574918709152981","2","all","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:36:43.000Z","90","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_all_3","0.4976108200853909","3","all","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:38:35.000Z","60","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_all_4","0.40133100926342447","4","all","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:42:18.000Z","89","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_no_text_0","0.5044185714044729","0","no_text","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:30:55.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_no_text_1","0.6019279565431084","1","no_text","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:33:30.000Z","2","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_no_text_2","0.21914150055429304","2","no_text","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:34:35.000Z","52","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_no_text_3","0.25891158743735887","3","no_text","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:37:32.000Z","49","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_no_text_4","0.46949814446031635","4","no_text","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:41:57.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_text_only_0","0.08279468185132954","0","text_only","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:31:05.000Z","136","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_text_only_1","0.2231994107934533","1","text_only","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:33:41.000Z","135","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_text_only_2","-0.11279522214628601","2","text_only","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:36:12.000Z","135","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_POLISH_MARKET_text_only_3","-0.545500911001809","3","text_only","CatBoost 😸","REG_TEXT_WINE_POLISH_MARKET","2026-09-03T02:39:06.000Z","97","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
