"Name","test_score","fold","multimodal_state","model","dataset","Created","Runtime","State","e5_model_name","git","Sweep"
"cat_REG_TEXT_WINE_VIVINO_SPAIN_all_0","0.8498166526232538","0","all","CatBoost 😸","REG_TEXT_WINE_VIVINO_SPAIN","2026-09-03T02:44:45.000Z","122","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_VIVINO_SPAIN_all_1","0.8084084991290408","1","all","CatBoost 😸","REG_TEXT_WINE_VIVINO_SPAIN","2026-09-03T02:48:27.000Z","138","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_VIVINO_SPAIN_all_2","0.8378401247055354","2","all","CatBoost 😸","REG_TEXT_WINE_VIVINO_SPAIN","2026-09-03T02:50:37.000Z","60","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_VIVINO_SPAIN_all_3","0.8184416326592748","3","all","CatBoost 😸","REG_TEXT_WINE_VIVINO_SPAIN","2026-09-03T02:55:28.000Z","207","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_VIVINO_SPAIN_all_4","0.8607676119537684","4","all","CatBoost 😸","REG_TEXT_WINE_VIVINO_SPAIN","2026-09-03T02:59:13.000Z","206","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_VIVINO_SPAIN_no_text_0","0.843517778868498","0","no_text","CatBoost 😸","REG_TEXT_WINE_VIVINO_SPAIN","2026-09-03T02:44:24.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_VIVINO_SPAIN_no_text_1","0.7790566028444968","1","no_text","CatBoost 😸","REG_TEXT_WINE_VIVINO_SPAIN","2026-09-03T02:46:29.000Z","13","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_VIVINO_SPAIN_no_text_2","0.8149512164672483","2","no_text","CatBoost 😸","REG_TEXT_WINE_VIVINO_SPAIN","2026-09-03T02:51:22.000Z","4","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_VIVINO_SPAIN_no_text_3","0.8038282995077703","3","no_text","CatBoost 😸","REG_TEXT_WINE_VIVINO_SPAIN","2026-09-03T02:55:15.000Z","3","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
"cat_REG_TEXT_WINE_VIVINO_SPAIN_no_text_4","0.8348807260047312","4","no_text","CatBoost 😸","REG_TEXT_WINE_VIVINO_SPAIN","2026-09-03T02:58:37.000Z","5","finished","intfloat/e5-small-v2","0e19d58","asuqv7o0"
