"Name","Created","Runtime","State","test_score","dataset","model","e5_model_name","fold"
"tabpfnv2p5_REG_TEXT_WIKILIQ_PRICES_no_text_0","2026-09-03T14:18:50.000Z","6","finished","0.002991176405096052","REG_TEXT_WIKILIQ_PRICES","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","0"
"tabpfnv2p5_REG_TEXT_CHOCOLATE_BAR_RATINGS_all_1","2026-09-03T14:18:03.000Z","34","finished","0.35898954870733524","REG_TEXT_CHOCOLATE_BAR_RATINGS","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","1"
"tabpfnv2p5_REG_TEXT_WIKILIQ_PRICES_no_text_1","2026-09-03T14:16:21.000Z","6","finished","0.24257368152429692","REG_TEXT_WIKILIQ_PRICES","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","1"
"tabpfnv2p5_REG_TEXT_CHOCOLATE_BAR_RATINGS_text_only_2","2026-09-03T14:15:34.000Z","36","finished","0.2025928512093409","REG_TEXT_CHOCOLATE_BAR_RATINGS","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2"
"tabpfnv2p5_REG_TEXT_RAMEN_RATINGS_text_only_1","2026-09-03T14:14:08.000Z","75","finished","0.25131186453425547","REG_TEXT_RAMEN_RATINGS","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","1"
"tabpfnv2p5_MUL_TEXT_BOOKS_GOODREADS_no_text_0","2026-09-03T14:13:11.000Z","5","finished","0.720388130354846","MUL_TEXT_BOOKS_GOODREADS","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","0"
"tabpfnv2p5_REG_TEXT_ANIME_PLANET_no_text_0","2026-09-03T14:12:53.000Z","6","finished","0.647907732387533","REG_TEXT_ANIME_PLANET","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","0"
"tabpfnv2p5_REG_TEXT_USED_CAR_PAKISTAN_no_text_0","2026-09-03T14:12:34.000Z","7","finished","0.9098122888648394","REG_TEXT_USED_CAR_PAKISTAN","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","0"
"tabpfnv2p5_REG_TEXT_FIFA22_WAGES_all_0","2026-09-03T14:12:25.000Z","121","finished","0.8155644415452705","REG_TEXT_FIFA22_WAGES","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","0"
"tabpfnv2p5_MUL_TEXT_KOREAN_DRAMA_text_only_2","2026-09-03T14:12:24.000Z","92","finished","0.7161225023043343","MUL_TEXT_KOREAN_DRAMA","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2"
"tabpfnv2p5_REG_TEXT_FIFA22_WAGES_no_text_0","2026-09-03T14:12:08.000Z","14","finished","0.8000871610190731","REG_TEXT_FIFA22_WAGES","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","0"
"tabpfnv2p5_REG_TEXT_WINE_VIVINO_SPAIN_all_2","2026-09-03T14:09:30.000Z","161","finished","0.8283726765324022","REG_TEXT_WINE_VIVINO_SPAIN","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2"
"tabpfnv2p5_MUL_TEXT_BOOKS_GOODREADS_all_2","2026-09-03T14:07:11.000Z","303","finished","0.7266134701232124","MUL_TEXT_BOOKS_GOODREADS","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2"
"tabpfnv2p5_REG_TEXT_WINE_VIVINO_SPAIN_all_0","2026-09-03T14:06:03.000Z","143","finished","0.853836913540148","REG_TEXT_WINE_VIVINO_SPAIN","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","0"
"tabpfnv2p5_REG_TEXT_CHOCOLATE_BAR_RATINGS_no_text_2","2026-09-03T14:03:08.000Z","4","finished","0.04326867151490388","REG_TEXT_CHOCOLATE_BAR_RATINGS","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2"
"tabpfnv2p5_REG_TEXT_WIKILIQ_PRICES_no_text_2","2026-09-03T14:02:50.000Z","6","finished","0.007388907375932563","REG_TEXT_WIKILIQ_PRICES","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2"
"tabpfnv2p5_REG_TEXT_AIRBNB_SEATTLE_no_text_2","2026-09-03T14:02:32.000Z","7","finished","0.63253248693281","REG_TEXT_AIRBNB_SEATTLE","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","2"
"tabpfnv2p5_MUL_TEXT_KOREAN_DRAMA_text_only_0","2026-09-03T14:00:32.000Z","69","finished","0.7186726805021931","MUL_TEXT_KOREAN_DRAMA","TabPFN-v2p5 🇩🇪","intfloat/e5-small-v2","0"
